make,model,component,times,first_seen,last_seen,campaigns
TOYOTA,TUNDRA,"ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL",3,24V381000,26V320000,"24V381000; 25V767000; 26V320000"
TOYOTA,YARIS,EQUIPMENT:OTHER:LABELS,3,16V236000,19V503000,"16V236000; 19V244000; 19V503000"
TRIUMPH,"STREET TWIN","ELECTRICAL SYSTEM:WIRING",3,16V163000,20V472000,"16V163000; 19V133000; 20V472000"
VOLKSWAGEN,JETTA,EQUIPMENT:OTHER:LABELS,3,17V136000,17V352000,"17V136000; 17V137000; 17V352000"
VOLKSWAGEN,JETTA,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",3,18V824000,26V185000,"18V824000; 23V619000; 26V185000"
VOLKSWAGEN,PASSAT,"UNKNOWN OR OTHER",3,19V679000,21V321000,"19V679000; 20V561000; 21V321000"
VOLKSWAGEN,TIGUAN,"UNKNOWN OR OTHER",3,18V329000,21V321000,"18V329000; 19V679000; 21V321000"
VOLVO,XC90,"AIR BAGS:SIDE/WINDOW",3,15V342000,17V104000,"15V342000; 15V497000; 17V104000"
"ALFA ROMEO",GIULIA,"FUEL SYSTEM, GASOLINE:DELIVERY:PRESSURE SENSOR",2,21V878000,24V306000,"21V878000; 24V306000"
"ALFA ROMEO",STELVIO,EQUIPMENT:OTHER:LABELS,2,24V512000,24V857000,"24V512000; 24V857000"
AUDI,A3,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,21V198000,24V251000,"21V198000; 24V251000"
AUDI,A5,"ENGINE AND ENGINE COOLING:COOLING SYSTEM",2,17V002000,18V229000,"17V002000; 18V229000"
AUDI,A5,"AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE",2,18V836000,19V547000,"18V836000; 19V547000"
AUDI,A5,"SEAT BELTS:REAR/OTHER:RETRACTOR",2,21V606000,25V899000,"21V606000; 25V899000"
AUDI,A6,"SEAT BELTS:REAR/OTHER:RETRACTOR",2,21V606000,25V899000,"21V606000; 25V899000"
AUDI,A8,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,21V825000,25V900000,"21V825000; 25V900000"
AUDI,E-TRON,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,21V825000,25V900000,"21V825000; 25V900000"
AUDI,"E-TRON GT","SUSPENSION:FRONT:MACPHERSON STRUT",2,22V927000,25V428000,"22V927000; 25V428000"
AUDI,Q3,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,21V825000,22V064000,"21V825000; 22V064000"
AUDI,Q5,"SEAT BELTS:PRETENSIONER",2,16V955000,26V266000,"16V955000; 26V266000"
AUDI,Q5,"ENGINE AND ENGINE COOLING:COOLING SYSTEM",2,17V002000,18V229000,"17V002000; 18V229000"
AUDI,Q5,STRUCTURE:BODY,2,19V737000,21V947000,"19V737000; 21V947000"
AUDI,Q5,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",2,24V898000,25V080000,"24V898000; 25V080000"
AUDI,Q7,"AIR BAGS:SIDE/WINDOW",2,20V093000,23V868000,"20V093000; 23V868000"
AUDI,Q7,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,21V825000,25V900000,"21V825000; 25V900000"
AUDI,Q8,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,21V825000,25V900000,"21V825000; 25V900000"
AUDI,S8,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,21V825000,25V900000,"21V825000; 25V900000"
BMW,I7,"ELECTRICAL SYSTEM",2,22V860000,23V479000,"22V860000; 23V479000"
BMW,I7,SEATS,2,23V050000,23V414000,"23V050000; 23V414000"
BMW,M3,"POWER TRAIN:DRIVELINE:DRIVESHAFT",2,15V782000,18V713000,"15V782000; 18V713000"
BMW,M4,"POWER TRAIN:DRIVELINE:DRIVESHAFT",2,15V782000,18V713000,"15V782000; 18V713000"
BMW,M4,"AIR BAGS",2,16V914000,17V115000,"16V914000; 17V115000"
BMW,M5,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,19V684000,20V598000,"19V684000; 20V598000"
BMW,M5,"ELECTRICAL SYSTEM:WIRING",2,19V883000,26V096000,"19V883000; 26V096000"
BMW,"S 1000 RR","SERVICE BRAKES",2,20V476000,23V123000,"20V476000; 23V123000"
BMW,X1,"SEAT BELTS:FRONT:RETRACTOR",2,16V747000,25V616000,"16V747000; 25V616000"
BMW,X1,"STRUCTURE:BODY:ROOF AND PILLARS",2,19V349000,24V829000,"19V349000; 24V829000"
BMW,X1,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE",2,24V104000,24V739000,"24V104000; 24V739000"
BMW,X3,SEATS,2,19V563000,23V211000,"19V563000; 23V211000"
BMW,X3,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",2,20V490000,20V601000,"20V490000; 20V601000"
BMW,X3,STRUCTURE,2,24V534000,24V764000,"24V534000; 24V764000"
BMW,X4,SEATS,2,19V563000,23V211000,"19V563000; 23V211000"
BMW,X4,"AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE",2,19V291000,20V152000,"19V291000; 20V152000"
BMW,X4,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,19V684000,20V598000,"19V684000; 20V598000"
BMW,X4,"ELECTRICAL SYSTEM:STARTER ASSEMBLY",2,26V056000,26V438000,"26V056000; 26V438000"
BMW,X5,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",2,20V490000,20V601000,"20V490000; 20V601000"
BMW,X5,"ELECTRICAL SYSTEM:STARTER ASSEMBLY",2,20V465000,25V644000,"20V465000; 25V644000"
BMW,X5,STEERING:COLUMN,2,20V434000,21V031000,"20V434000; 21V031000"
BMW,X5,"SEATS:MID/REAR ASSEMBLY:HEAD RESTRAINT",2,21V156000,23V253000,"21V156000; 23V253000"
BMW,X5,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE",2,24V104000,24V739000,"24V104000; 24V739000"
BMW,X6,STRUCTURE:BODY,2,20V095000,20V484000,"20V095000; 20V484000"
BMW,X6,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE",2,24V104000,24V739000,"24V104000; 24V739000"
BMW,X7,SEATS,2,19V135000,22V670000,"19V135000; 22V670000"
BMW,X7,"EXTERIOR LIGHTING",2,20V052000,22V725000,"20V052000; 22V725000"
BMW,X7,"ELECTRICAL SYSTEM:STARTER ASSEMBLY",2,20V465000,25V644000,"20V465000; 25V644000"
BMW,X7,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE",2,24V104000,24V739000,"24V104000; 24V739000"
BMW,XM,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE",2,24V104000,24V739000,"24V104000; 24V739000"
BMW,Z4,ENGINE,2,19V732000,21V598000,"19V732000; 21V598000"
BMW,Z4,"EXTERIOR LIGHTING:HEADLIGHTS",2,19V850000,20V516000,"19V850000; 20V516000"
BMW,Z4,"ELECTRICAL SYSTEM:STARTER ASSEMBLY",2,26V056000,26V438000,"26V056000; 26V438000"
BUICK,ENCORE,"SEAT BELTS:PRETENSIONER",2,16V651000,17V437000,"16V651000; 17V437000"
CADILLAC,ATS,"STEERING:ELECTRIC POWER ASSIST SYSTEM",2,19V086000,25V175000,"19V086000; 25V175000"
CADILLAC,CTS,"STEERING:ELECTRIC POWER ASSIST SYSTEM",2,19V086000,25V175000,"19V086000; 25V175000"
CADILLAC,ESCALADE,"SEAT BELTS:PRETENSIONER",2,16V651000,17V437000,"16V651000; 17V437000"
CADILLAC,ESCALADE,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:VACUUM",2,19V645000,20V603000,"19V645000; 20V603000"
CADILLAC,ESCALADE,"EXTERIOR LIGHTING:LIGHTING CONTROL MODULE:SOFTWARE",2,22V827000,22V903000,"22V827000; 22V903000"
CADILLAC,ESCALADE,"POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:VALVES/VALVE BODY",2,24V797000,26V085000,"24V797000; 26V085000"
CAN-AM,RYKER,WHEELS:LUGS/NUTS/BOLTS/STUDS,2,19V683000,20V632000,"19V683000; 20V632000"
CHEVROLET,CAMARO,"STEERING:ELECTRIC POWER ASSIST SYSTEM",2,19V086000,25V175000,"19V086000; 25V175000"
CHEVROLET,CORVETTE,"SEAT BELTS:PRETENSIONER",2,16V651000,17V437000,"16V651000; 17V437000"
CHEVROLET,CORVETTE,"STEERING:ELECTRIC POWER ASSIST SYSTEM",2,19V086000,25V175000,"19V086000; 25V175000"
CHEVROLET,CORVETTE,"ELECTRICAL SYSTEM:SOFTWARE",2,20V461000,20V489000,"20V461000; 20V489000"
CHEVROLET,CORVETTE,"SEAT BELTS:FRONT:RETRACTOR",2,20V581000,24V418000,"20V581000; 24V418000"
CHEVROLET,SUBURBAN,"SEAT BELTS:PRETENSIONER",2,16V651000,17V437000,"16V651000; 17V437000"
CHEVROLET,SUBURBAN,"SEAT BELTS:REAR/OTHER",2,18V673000,21V190000,"18V673000; 21V190000"
CHEVROLET,SUBURBAN,"EXTERIOR LIGHTING:LIGHTING CONTROL MODULE:SOFTWARE",2,22V827000,22V903000,"22V827000; 22V903000"
CHEVROLET,SUBURBAN,"POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:VALVES/VALVE BODY",2,24V797000,26V085000,"24V797000; 26V085000"
CHEVROLET,TAHOE,"SEAT BELTS:PRETENSIONER",2,16V651000,17V437000,"16V651000; 17V437000"
CHEVROLET,TAHOE,"SEAT BELTS:FRONT",2,18V291000,21V245000,"18V291000; 21V245000"
CHEVROLET,TAHOE,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:VACUUM",2,19V645000,20V603000,"19V645000; 20V603000"
CHEVROLET,TAHOE,"SEAT BELTS:REAR/OTHER",2,21V190000,21V210000,"21V190000; 21V210000"
CHEVROLET,TAHOE,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE:SOFTWARE",2,21V579000,24V674000,"21V579000; 24V674000"
CHEVROLET,TAHOE,"EXTERIOR LIGHTING:LIGHTING CONTROL MODULE:SOFTWARE",2,22V827000,22V903000,"22V827000; 22V903000"
CHEVROLET,TAHOE,"POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:VALVES/VALVE BODY",2,24V797000,26V085000,"24V797000; 26V085000"
CHEVROLET,TRAX,"SEAT BELTS:PRETENSIONER",2,16V651000,17V437000,"16V651000; 17V437000"
CHEVROLET,TRAX,"ELECTRICAL SYSTEM:SOFTWARE",2,16V257000,16V422000,"16V257000; 16V422000"
CHEVROLET,TRAX,"SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT",2,19V312000,19V652000,"19V312000; 19V652000"
CHRYSLER,300,"TIRES:PRESSURE MONITORING AND REGULATING SYSTEMS",2,22V504000,22V808000,"22V504000; 22V808000"
CHRYSLER,PACIFICA,"SEAT BELTS:REAR/OTHER",2,16V490000,17V542000,"16V490000; 17V542000"
CHRYSLER,PACIFICA,"ELECTRICAL SYSTEM:SOFTWARE",2,18V049000,18V332000,"18V049000; 18V332000"
CHRYSLER,PACIFICA,"ELECTRICAL SYSTEM:12V/24V/48V BATTERY",2,19V348000,23V753000,"19V348000; 23V753000"
CHRYSLER,PACIFICA,"EQUIPMENT ADAPTIVE/MOBILITY:WHEELCHAIR RESTRAINTS/SECUREMENT:LATCH/ANCHOR:",2,25V876000,25V877000,"25V876000; 25V877000"
CHRYSLER,PACIFICA,EQUIPMENT:APPLIANCE:TV/RADIO/SPEAKERS,2,25V388000,25V471000,"25V388000; 25V471000"
DODGE,CHALLENGER,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",2,19V203000,21V664000,"19V203000; 21V664000"
DODGE,CHALLENGER,"TIRES:PRESSURE MONITORING AND REGULATING SYSTEMS",2,22V504000,22V808000,"22V504000; 22V808000"
DODGE,CHARGER,"TIRES:PRESSURE MONITORING AND REGULATING SYSTEMS",2,22V504000,22V808000,"22V504000; 22V808000"
