make,model,component,times,first_seen,last_seen,campaigns
FORD,RANGER,"BACK OVER PREVENTION:SOFTWARE",2,25V315000,25V442000,"25V315000; 25V442000"
FORD,RANGER,"SEATS:CRITICAL FASTENERS",2,25V311000,26V268000,"25V311000; 26V268000"
FORD,TRANSIT,"AIR BAGS:SIDE/WINDOW",2,16V188000,20V415000,"16V188000; 20V415000"
FORD,TRANSIT,"ELECTRICAL SYSTEM:WIRING",2,17V668000,18V275000,"17V668000; 18V275000"
FORD,TRANSIT,"EQUIPMENT ADAPTIVE/MOBILITY",2,19V183000,19V271000,"19V183000; 19V271000"
FORD,TRANSIT,EQUIPMENT:OTHER:LABELS,2,22V384000,24V636000,"22V384000; 24V636000"
FORD,TRANSIT,"VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM",2,23V122000,25V168000,"23V122000; 25V168000"
FORD,TRANSIT,"BACK OVER PREVENTION:SOFTWARE",2,25V315000,25V442000,"25V315000; 25V442000"
FORD,"TRANSIT CONNECT","POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE (TCM/PCM/TECM)",2,20V636000,25V196000,"20V636000; 25V196000"
FORD,"TRANSIT CONNECT","POWER TRAIN:SHIFT LINKAGE/CABLE/ROD",2,21V376000,22V413000,"21V376000; 22V413000"
GENESIS,G80,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2,21V208000,26V229000,"21V208000; 26V229000"
GENESIS,G80,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,23V630000,24V282000,"23V630000; 24V282000"
GENESIS,G80,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",2,25V105000,26V019000,"25V105000; 26V019000"
HARLEY-DAVIDSON,FLHC,"SUSPENSION:REAR:SHOCK ABSORBER",2,23V591000,25V375000,"23V591000; 25V375000"
HARLEY-DAVIDSON,FLHTCU,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FLHTK,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FLHTKSE,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FLHTP,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FLHX,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FLHXS,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FLTRX,"POWER TRAIN:CLUTCH ASSEMBLY",2,16V471000,18V734000,"16V471000; 18V734000"
HARLEY-DAVIDSON,FXLRST,"SUSPENSION:REAR:SHOCK ABSORBER",2,23V591000,25V375000,"23V591000; 25V375000"
HONDA,ACCORD,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,ACCORD,"SEATS:CRITICAL FASTENERS",2,24V859000,26V054000,"24V859000; 26V054000"
HONDA,CIVIC,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,CR-V,EQUIPMENT:OTHER:LABELS,2,17V256000,23V524000,"17V256000; 23V524000"
HONDA,CR-V,"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY",2,19V569000,22V380000,"19V569000; 22V380000"
HONDA,CR-V,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,21V215000,23V858000,"21V215000; 23V858000"
HONDA,CR-V,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,FIT,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,HR-V,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,HR-V,"SEATS:CRITICAL FASTENERS",2,24V859000,26V054000,"24V859000; 26V054000"
HONDA,INSIGHT,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,ODYSSEY,LATCHES/LOCKS/LINKAGES:DOORS:LATCH,2,18V795000,20V437000,"18V795000; 20V437000"
HONDA,ODYSSEY,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,21V215000,23V858000,"21V215000; 23V858000"
HONDA,ODYSSEY,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,PASSPORT,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V439000,20V440000,"20V439000; 20V440000"
HONDA,PASSPORT,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,21V215000,23V858000,"21V215000; 23V858000"
HONDA,PASSPORT,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,PILOT,"SEAT BELTS:REAR/OTHER",2,15V424000,25V056000,"15V424000; 25V056000"
HONDA,PILOT,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V439000,20V440000,"20V439000; 20V440000"
HONDA,PILOT,TIRES,2,20V725000,21V165000,"20V725000; 21V165000"
HONDA,PILOT,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,21V215000,23V858000,"21V215000; 23V858000"
HONDA,PILOT,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HONDA,PILOT,"SEATS:CRITICAL FASTENERS",2,24V859000,26V054000,"24V859000; 26V054000"
HONDA,RIDGELINE,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,22V867000,24V321000,"22V867000; 24V321000"
HONDA,RIDGELINE,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,24V064000,26V332000,"24V064000; 26V332000"
HYUNDAI,ELANTRA,"AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE",2,16V956000,26V307000,"16V956000; 26V307000"
HYUNDAI,ELANTRA,"AIR BAGS:FRONTAL",2,16V232000,22V632000,"16V232000; 22V632000"
HYUNDAI,ELANTRA,"SEAT BELTS:PRETENSIONER",2,21V796000,22V123000,"21V796000; 22V123000"
HYUNDAI,ELANTRA,"SEAT BELTS:FRONT",2,22V218000,22V354000,"22V218000; 22V354000"
HYUNDAI,"SANTA FE","TRAILER HITCHES",2,16V842000,23V181000,"16V842000; 23V181000"
HYUNDAI,"SANTA FE","FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2,21V308000,21V524000,"21V308000; 21V524000"
HYUNDAI,SONATA,"ELECTRICAL SYSTEM:SOFTWARE",2,20V213000,21V749000,"20V213000; 21V749000"
HYUNDAI,SONATA,"LATCHES/LOCKS/LINKAGES:TRUNK LID:LATCH",2,21V619000,22V196000,"21V619000; 22V196000"
HYUNDAI,TUCSON,"ELECTRICAL SYSTEM:SOFTWARE",2,16V628000,21V938000,"16V628000; 21V938000"
HYUNDAI,TUCSON,"TRAILER HITCHES",2,16V842000,25V893000,"16V842000; 25V893000"
HYUNDAI,TUCSON,EQUIPMENT:OTHER:LABELS,2,23V556000,24V691000,"23V556000; 24V691000"
HYUNDAI,VELOSTER,ENGINE,2,20V746000,21V301000,"20V746000; 21V301000"
JAGUAR,F-TYPE,"SEAT BELTS:PRETENSIONER",2,16V940000,22V524000,"16V940000; 22V524000"
JAGUAR,XE,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,23V501000,25V017000,"23V501000; 25V017000"
JEEP,CHEROKEE,STRUCTURE:BODY:HATCHBACK/LIFTGATE,2,15V826000,23V338000,"15V826000; 23V338000"
JEEP,CHEROKEE,"ENGINE AND ENGINE COOLING:ENGINE",2,17V670000,18V344000,"17V670000; 18V344000"
JEEP,CHEROKEE,"POWER TRAIN",2,25V011000,26V290000,"25V011000; 26V290000"
JEEP,COMPASS,"ENGINE AND ENGINE COOLING:ENGINE",2,16V907000,17V670000,"16V907000; 17V670000"
JEEP,"GRAND CHEROKEE","FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2,16V814000,18V048000,"16V814000; 18V048000"
JEEP,"GRAND CHEROKEE","ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:GAS RECIRCULATION VALVE (EGR VALVE)",2,20V699000,22V284000,"20V699000; 22V284000"
JEEP,"GRAND CHEROKEE","EXTERIOR LIGHTING:HEADLIGHTS",2,21V797000,24V130000,"21V797000; 24V130000"
JEEP,"GRAND CHEROKEE","AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE:SOFTWARE",2,21V873000,26V328000,"21V873000; 26V328000"
JEEP,"GRAND CHEROKEE","SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE",2,22V426000,24V838000,"22V426000; 24V838000"
JEEP,"GRAND WAGONEER","BACK OVER PREVENTION:DISPLAY FUNCTION",2,21V00A000,23V577000,"21V00A000; 23V577000"
JEEP,"GRAND WAGONEER","STRUCTURE:EXTERIOR TRIM",2,25V593000,25V642000,"25V593000; 25V642000"
JEEP,RENEGADE,"AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE",2,19V287000,19V438000,"19V287000; 19V438000"
JEEP,WAGONEER,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,21V00A000,23V577000,"21V00A000; 23V577000"
JEEP,WAGONEER,"STRUCTURE:EXTERIOR TRIM",2,25V593000,25V642000,"25V593000; 25V642000"
JEEP,WRANGLER,STEERING,2,18V343000,19V201000,"18V343000; 19V201000"
JEEP,WRANGLER,"STRUCTURE:FRAME AND MEMBERS",2,18V675000,23V191000,"18V675000; 23V191000"
JEEP,WRANGLER,ENGINE,2,22V767000,22V865000,"22V767000; 22V865000"
JEEP,WRANGLER,"EXTERIOR LIGHTING",2,22V326000,24V871000,"22V326000; 24V871000"
JEEP,WRANGLER,"EXTERIOR LIGHTING:TAIL LIGHTS",2,24V414000,24V585000,"24V414000; 24V585000"
JEEP,WRANGLER,"AIR BAGS:FRONTAL:DRIVER CLOCKSPRING/SPIRAL CASSETTE",2,24V196000,24V199000,"24V196000; 24V199000"
KIA,RIO,"LATCHES/LOCKS/LINKAGES:TRUNK LID:LATCH",2,21V622000,23V594000,"21V622000; 23V594000"
KIA,SORENTO,"TRAILER HITCHES",2,16V862000,22V703000,"16V862000; 22V703000"
KIA,SORENTO,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,23V610000,23V639000,"23V610000; 23V639000"
KIA,SOUL,ENGINE,2,19V120000,21V259000,"19V120000; 21V259000"
KIA,SOUL,"AIR BAGS",2,22V031000,23V830000,"22V031000; 23V830000"
KIA,SPORTAGE,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE",2,21V137000,22V051000,"21V137000; 22V051000"
KIA,STINGER,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V560000,23V634000,"20V560000; 23V634000"
"LAND ROVER",DISCOVERY,"ELECTRICAL SYSTEM:SOFTWARE",2,18V337000,20V143000,"18V337000; 20V143000"
"LAND ROVER",DISCOVERY,"ELECTRICAL SYSTEM:12V/24V/48V BATTERY",2,20V694000,21V457000,"20V694000; 21V457000"
"LAND ROVER","DISCOVERY SPORT","SEAT BELTS:PRETENSIONER",2,16V942000,22V523000,"16V942000; 22V523000"
"LAND ROVER","RANGE ROVER","AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE",2,16V941000,17V154000,"16V941000; 17V154000"
"LAND ROVER","RANGE ROVER",ENGINE,2,19V040000,23V222000,"19V040000; 23V222000"
"LAND ROVER","RANGE ROVER EVOQUE","ELECTRICAL SYSTEM:SOFTWARE",2,20V517000,20V683000,"20V517000; 20V683000"
"LAND ROVER","RANGE ROVER SPORT","SEAT BELTS:PRETENSIONER",2,16V942000,22V523000,"16V942000; 22V523000"
"LAND ROVER","RANGE ROVER SPORT","AIR BAGS:FRONTAL:PASSENGER SIDE:INFLATOR MODULE",2,16V941000,17V154000,"16V941000; 17V154000"
"LAND ROVER","RANGE ROVER SPORT","ELECTRICAL SYSTEM:SOFTWARE",2,18V337000,20V585000,"18V337000; 20V585000"
LEXUS,ES,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,24V124000,25V744000,"24V124000; 25V744000"
LEXUS,LC,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,24V124000,25V744000,"24V124000; 25V744000"
LEXUS,LS,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,24V124000,25V744000,"24V124000; 25V744000"
LEXUS,LX,"ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL",2,24V381000,25V767000,"24V381000; 25V767000"
MASERATI,GHIBLI,"FUEL SYSTEM, GASOLINE:DELIVERY:PRESSURE SENSOR",2,21V872000,24V269000,"21V872000; 24V269000"
MASERATI,GRANTURISMO,"BACK OVER PREVENTION:SOFTWARE",2,24V892000,25V098000,"24V892000; 25V098000"
MASERATI,QUATTROPORTE,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2,17V834000,21V872000,"17V834000; 21V872000"
MAZDA,MAZDA3,"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY",2,15V621000,16V684000,"15V621000; 16V684000"
MERCEDES-BENZ,"AMG GT",COMMUNICATION,2,19V787000,20V227000,"19V787000; 20V227000"
MERCEDES-BENZ,"AMG GT","POWER TRAIN:DRIVELINE:DRIVESHAFT",2,19V457000,21V478000,"19V457000; 21V478000"
MERCEDES-BENZ,"AMG GT","COMMUNICATION: AUTO CRASH NOTIFICATION",2,21V058000,22V365000,"21V058000; 22V365000"
MINI,COOPER,"SEAT BELTS:FRONT:RETRACTOR",2,16V747000,25V616000,"16V747000; 25V616000"
MINI,COUNTRYMAN,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",2,20V490000,20V601000,"20V490000; 20V601000"
MITSUBISHI,OUTLANDER,"PARKING BRAKE",2,18V070000,20V741000,"18V070000; 20V741000"
MITSUBISHI,OUTLANDER,"SEAT BELTS:REAR/OTHER:RETRACTOR",2,21V596000,22V335000,"21V596000; 22V335000"
MITSUBISHI,OUTLANDER,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,22V470000,23V345000,"22V470000; 23V345000"
MITSUBISHI,OUTLANDER,"BACK OVER PREVENTION:SOFTWARE",2,25V369000,26V549000,"25V369000; 26V549000"
MITSUBISHI,OUTLANDER,"STRUCTURE:BODY:HATCHBACK/LIFTGATE:SUPPORT DEVICE/STRUT",2,25V507000,26V252000,"25V507000; 26V252000"
NISSAN,ARIYA,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:INVERTER",2,23V657000,24V560000,"23V657000; 24V560000"
NISSAN,MAXIMA,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION",2,16V244000,16V911000,"16V244000; 16V911000"
NISSAN,PATHFINDER,"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP",2,18V601000,19V807000,"18V601000; 19V807000"
NISSAN,PATHFINDER,LATCHES/LOCKS/LINKAGES:HOOD:LATCH,2,21V706000,22V420000,"21V706000; 22V420000"
POLARIS,SLINGSHOT,SEATS,2,18V195000,19V185000,"18V195000; 19V185000"
POLARIS,SLINGSHOT,"ELECTRICAL SYSTEM:WIRING:FUSES AND CIRCUIT BREAKERS",2,19V750000,19V881000,"19V750000; 19V881000"
POLESTAR,"POLESTAR 1","ELECTRICAL SYSTEM:12V/24V/48V BATTERY",2,22V926000,23V361000,"22V926000; 23V361000"
POLESTAR,"POLESTAR 2","BACK OVER PREVENTION:SOFTWARE",2,25V280000,25V615000,"25V280000; 25V615000"
PORSCHE,CAYENNE,"SERVICE BRAKES",2,19V115000,19V735000,"19V115000; 19V735000"
PORSCHE,CAYENNE,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,19V111000,25V896000,"19V111000; 25V896000"
PORSCHE,MACAN,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,17V289000,20V077000,"17V289000; 20V077000"
PORSCHE,PANAMERA,"SERVICE BRAKES",2,19V115000,19V735000,"19V115000; 19V735000"
PORSCHE,TAYCAN,"SUSPENSION:FRONT:MACPHERSON STRUT",2,22V921000,25V415000,"22V921000; 25V415000"
PORSCHE,TAYCAN,"ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",2,23V176000,23V347000,"23V176000; 23V347000"
SUBARU,FORESTER,EQUIPMENT:OTHER:LABELS,2,18V455000,26V436000,"18V455000; 26V436000"
SUBARU,IMPREZA,"EXTERIOR LIGHTING:BRAKE LIGHTS:SWITCH",2,19V149000,23V292000,"19V149000; 23V292000"
SUBARU,IMPREZA,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:CRANKCASE (PCV)",2,19V744000,19V745000,"19V744000; 19V745000"
SUBARU,IMPREZA,"ELECTRICAL SYSTEM:SOFTWARE",2,19V743000,21V264000,"19V743000; 21V264000"
SUBARU,IMPREZA,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V218000,21V587000,"20V218000; 21V587000"
SUBARU,IMPREZA,"POWER TRAIN:DRIVELINE:DRIVESHAFT",2,23V647000,23V754000,"23V647000; 23V754000"
SUBARU,LEGACY,"POWER TRAIN:DRIVELINE:DRIVESHAFT",2,15V502000,23V647000,"15V502000; 23V647000"
SUBARU,LEGACY,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V218000,21V587000,"20V218000; 21V587000"
SUBARU,LEGACY,"POWER TRAIN:DRIVELINE:CHAIN/BELT",2,21V955000,22V485000,"21V955000; 22V485000"
SUBARU,OUTBACK,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V218000,21V587000,"20V218000; 21V587000"
SUBARU,OUTBACK,"POWER TRAIN:DRIVELINE:CHAIN/BELT",2,21V955000,22V485000,"21V955000; 22V485000"
TESLA,"MODEL 3","STEERING:AUTOMATED/ADAPTIVE STEERING",2,22V037000,23V085000,"22V037000; 23V085000"
TESLA,"MODEL 3","ELECTRICAL SYSTEM:SOFTWARE",2,22V050000,24V554000,"22V050000; 24V554000"
TESLA,"MODEL 3","ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",2,22V263000,24V051000,"22V263000; 24V051000"
TESLA,"MODEL 3","BACK OVER PREVENTION:SOFTWARE",2,25V002000,26V283000,"25V002000; 26V283000"
TESLA,"MODEL S","STEERING:ELECTRIC POWER ASSIST SYSTEM",2,18V204000,22V818000,"18V204000; 22V818000"
TESLA,"MODEL S","AIR BAGS:FRONTAL:DRIVER SIDE:CUSHION",2,21V868000,24V967000,"21V868000; 24V967000"
TESLA,"MODEL S","FORWARD COLLISION AVOIDANCE: SENSING SYSTEM: CAMERA",2,21V846000,23V489000,"21V846000; 23V489000"
TESLA,"MODEL S","STEERING:AUTOMATED/ADAPTIVE STEERING",2,22V037000,23V085000,"22V037000; 23V085000"
TESLA,"MODEL S","SEAT BELTS:FRONT",2,22V045000,23V488000,"22V045000; 23V488000"
TESLA,"MODEL S","BACK OVER PREVENTION:SOFTWARE",2,25V002000,26V283000,"25V002000; 26V283000"
TESLA,"MODEL X","STEERING:ELECTRIC POWER ASSIST SYSTEM",2,20V062000,22V818000,"20V062000; 22V818000"
TESLA,"MODEL X",STRUCTURE:BODY,2,20V710000,24V615000,"20V710000; 24V615000"
TESLA,"MODEL X","AIR BAGS:FRONTAL:DRIVER SIDE:CUSHION",2,21V868000,24V967000,"21V868000; 24V967000"
TESLA,"MODEL X","FORWARD COLLISION AVOIDANCE: SENSING SYSTEM: CAMERA",2,21V846000,23V489000,"21V846000; 23V489000"
TESLA,"MODEL X","STEERING:AUTOMATED/ADAPTIVE STEERING",2,22V037000,23V085000,"22V037000; 23V085000"
TESLA,"MODEL X","SEAT BELTS:FRONT",2,22V045000,23V488000,"22V045000; 23V488000"
TESLA,"MODEL X","BACK OVER PREVENTION:SOFTWARE",2,25V002000,26V283000,"25V002000; 26V283000"
TESLA,"MODEL Y","SEAT BELTS:CRITICAL FASTENERS",2,21V388000,21V389000,"21V388000; 21V389000"
TESLA,"MODEL Y","SUSPENSION:CRITICAL FASTENERS",2,21V835000,22V895000,"21V835000; 22V895000"
TESLA,"MODEL Y","FORWARD COLLISION AVOIDANCE: SENSING SYSTEM: CAMERA",2,21V846000,23V489000,"21V846000; 23V489000"
TESLA,"MODEL Y","STEERING:AUTOMATED/ADAPTIVE STEERING",2,22V037000,23V085000,"22V037000; 23V085000"
TESLA,"MODEL Y","ELECTRICAL SYSTEM:SOFTWARE",2,22V050000,24V554000,"22V050000; 24V554000"
TESLA,"MODEL Y","BACK OVER PREVENTION:SOFTWARE",2,25V002000,26V283000,"25V002000; 26V283000"
TOYOTA,CAMRY,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:VACUUM",2,18V211000,21V890000,"18V211000; 21V890000"
TOYOTA,COROLLA,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V012000,20V682000,"20V012000; 20V682000"
TOYOTA,COROLLA,"AIR BAGS:FRONTAL:DRIVER CLOCKSPRING/SPIRAL CASSETTE",2,23V480000,25V040000,"23V480000; 25V040000"
TOYOTA,"COROLLA CROSS","ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL",2,23V384000,23V864000,"23V384000; 23V864000"
TOYOTA,"COROLLA CROSS","AIR BAGS:FRONTAL:DRIVER CLOCKSPRING/SPIRAL CASSETTE",2,23V480000,25V040000,"23V480000; 25V040000"
TOYOTA,HIGHLANDER,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V012000,20V682000,"20V012000; 20V682000"
TOYOTA,HIGHLANDER,"AIR BAGS:FRONTAL:DRIVER CLOCKSPRING/SPIRAL CASSETTE",2,23V480000,25V040000,"23V480000; 25V040000"
TOYOTA,HIGHLANDER,TIRES,2,24V419000,24V452000,"24V419000; 24V452000"
TOYOTA,MIRAI,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,24V124000,25V744000,"24V124000; 25V744000"
TOYOTA,PRIUS,EQUIPMENT:OTHER:LABELS,2,19V244000,24V548000,"19V244000; 24V548000"
TOYOTA,PRIUS,"ELECTRICAL SYSTEM:WIRING:SWITCHES/KNOBS/BUTTONS",2,24V274000,26V049000,"24V274000; 26V049000"
TOYOTA,TUNDRA,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",2,20V012000,20V682000,"20V012000; 20V682000"
TOYOTA,TUNDRA,"BACK OVER PREVENTION:DISPLAY FUNCTION",2,22V285000,22V501000,"22V285000; 22V501000"
TOYOTA,TUNDRA,"BACK OVER PREVENTION:SOFTWARE",2,25V657000,26V038000,"25V657000; 26V038000"
TRIUMPH,"STREET SCRAMBLER","ELECTRICAL SYSTEM:WIRING",2,19V133000,20V472000,"19V133000; 20V472000"
TRIUMPH,"STREET SCRAMBLER","ELECTRICAL SYSTEM:WIRING:CONNECTORS/PLUGS/RECEPTACLES",2,24V785000,26V078000,"24V785000; 26V078000"
TRIUMPH,"STREET TWIN","ELECTRICAL SYSTEM:WIRING:CONNECTORS/PLUGS/RECEPTACLES",2,24V785000,26V078000,"24V785000; 26V078000"
VOLKSWAGEN,ATLAS,"AIR BAGS: AIR BAG/RESTRAINT CONTROL MODULE",2,18V537000,21V892000,"18V537000; 21V892000"
VOLKSWAGEN,ATLAS,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER",2,18V369000,18V536000,"18V369000; 18V536000"
VOLKSWAGEN,ATLAS,"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY",2,18V284000,19V614000,"18V284000; 19V614000"
VOLKSWAGEN,ATLAS,"AIR BAGS:SIDE/WINDOW",2,19V218000,22V152000,"19V218000; 22V152000"
VOLKSWAGEN,ATLAS,"EXTERIOR LIGHTING:HEADLIGHTS",2,19V389000,20V504000,"19V389000; 20V504000"
VOLKSWAGEN,ATLAS,"UNKNOWN OR OTHER",2,20V561000,21V321000,"20V561000; 21V321000"
VOLKSWAGEN,ATLAS,TIRES:SIDEWALL,2,20V702000,21V142000,"20V702000; 21V142000"
VOLKSWAGEN,ATLAS,"BACK OVER PREVENTION: SENSING SYSTEM: CAMERA",2,20V716000,25V334000,"20V716000; 25V334000"
VOLKSWAGEN,ATLAS,STEERING,2,20V712000,21V026000,"20V712000; 21V026000"
VOLKSWAGEN,ATLAS,WHEELS:LUGS/NUTS/BOLTS/STUDS,2,21V132000,21V812000,"21V132000; 21V812000"
VOLKSWAGEN,ATLAS,"ENGINE AND ENGINE COOLING:ENGINE:HARD PARTS INTERNAL/MECHANICAL",2,22V753000,23V593000,"22V753000; 23V593000"
VOLKSWAGEN,ATLAS,"AIR BAGS:SENSOR:OCCUPANT CLASSIFICATION:FRONT PASSENGER",2,23V215000,24V464000,"23V215000; 24V464000"
VOLKSWAGEN,ATLAS,"BACK OVER PREVENTION:SOFTWARE",2,24V480000,26V473000,"24V480000; 26V473000"
VOLKSWAGEN,BEETLE,"AIR BAGS:FRONTAL:DRIVER SIDE:INFLATOR MODULE",2,22V945000,24V834000,"22V945000; 24V834000"
VOLKSWAGEN,CC,"UNKNOWN OR OTHER",2,18V329000,21V321000,"18V329000; 21V321000"
VOLKSWAGEN,E-GOLF,"UNKNOWN OR OTHER",2,18V329000,21V321000,"18V329000; 21V321000"
VOLKSWAGEN,GOLF,"FUEL SYSTEM, GASOLINE",2,16V647000,24V110000,"16V647000; 24V110000"
VOLKSWAGEN,GOLF,"ELECTRICAL SYSTEM:IGNITION:ANTI-THEFT:CONTROL MODULE",2,18V464000,19V615000,"18V464000; 19V615000"
VOLKSWAGEN,GOLF,"UNKNOWN OR OTHER",2,18V329000,21V321000,"18V329000; 21V321000"
VOLKSWAGEN,JETTA,"ENGINE AND ENGINE COOLING:ENGINE",2,15V705000,17V070000,"15V705000; 17V070000"
VOLKSWAGEN,JETTA,"FUEL SYSTEM, GASOLINE:FUEL INJECTION SYSTEM:FUEL RAIL",2,16V403000,20V648000,"16V403000; 20V648000"
VOLKSWAGEN,JETTA,"SUSPENSION:REAR:SPRINGS:COIL SPRINGS",2,18V904000,19V188000,"18V904000; 19V188000"
VOLKSWAGEN,PASSAT,"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER",2,18V369000,18V536000,"18V369000; 18V536000"
VOLKSWAGEN,TIGUAN,"BACK OVER PREVENTION:SOFTWARE",2,25V082000,26V321000,"25V082000; 26V321000"
VOLVO,EC40,"BACK OVER PREVENTION:SOFTWARE",2,25V282000,25V908000,"25V282000; 25V908000"
VOLVO,EX30,"ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY",2,26V001000,26V103000,"26V001000; 26V103000"
