mfg,raw,spellings,slug,recalls,units,median,p90,worst,same_day,over_30,over_90,early,rank
"Chrysler (FCA US, LLC)","Chrysler (FCA US, LLC)",2,chrysler-fca-us-llc,497,60358280,42,175,637,1,293,87,7,58
"Volkswagen Group of America","Volkswagen Group of America, Inc.",1,volkswagen-group-of-america,318,14081564,42,155,599,0,197,61,2,59
"Mack Trucks","Mack Trucks, Inc.",2,mack-trucks,133,387575,42,97,261,0,87,16,3,60
"Bentley Motors","Bentley Motors, Inc.",3,bentley-motors,32,34548,42,58,63,0,24,0,0,61
"Eldorado National- Kansas","Eldorado National- Kansas",2,eldorado-national-kansas,20,7279,42,57,83,0,15,0,1,62
"Rivian Automotive","Rivian Automotive, LLC",1,rivian-automotive,22,175264,41.5,57,221,0,18,3,0,63
"Ford Motor","Ford Motor Company",2,ford-motor,757,89967134,41,172,889,0,472,171,6,64
"Motor Coach Industries","Motor Coach Industries",3,motor-coach-industries,63,63194,41,110,858,0,37,8,0,65
"Continental Tire the Americas","Continental Tire the Americas, LLC.",3,continental-tire-the-americas,22,771694,41,59,78,0,14,0,0,66
"Blue Bird Body","Blue Bird Body Company",2,blue-bird-body,198,264847,40,87,293,0,121,20,2,67
"Thor Motor Coach","Thor Motor Coach",2,thor-motor-coach,135,222534,40,58,443,3,82,2,9,68
"TOYOTA MOTOR NORTH AMERICA","TOYOTA MOTOR NORTH AMERICA, INC.",1,toyota-motor-north-america,24,9482233,40,71,263,0,14,3,1,69
"Spartan Motors USA","Spartan Motors USA",2,spartan-motors-usa,94,65479,39.5,63,763,0,61,7,2,70
"Ducati North America","Ducati North America",2,ducati-north-america,60,97240,39,63,97,0,39,1,0,71
E-One,"E-One Incorporated",2,e-one,53,7810,38.5,66,91,0,31,1,1,72
"Terex South Dakota","Terex South Dakota, Inc.",2,terex-south-dakota,47,33113,38,64,84,0,30,0,0,73
"KZRV, L.P","KZRV, L.P.",1,kzrv-l-p,45,247766,38,59,280,0,30,3,0,74
"Polestar Automotive USA","Polestar Automotive USA, Inc.",1,polestar-automotive-usa,17,90019,38,58,270,0,11,2,0,75
"Winnebago Towable","Winnebago Towable",1,winnebago-towable,32,56308,37.5,72,157,0,23,3,0,76
"Champion Bus","Champion Bus, Inc.",2,champion-bus,27,9612,37,89,174,0,15,3,4,77
"DAIMLER BUSES NORTH AMERICA","DAIMLER BUSES NORTH AMERICA, INC.",2,daimler-buses-north-america,15,6899,37,101,396,0,8,3,0,78
"General Motors","General Motors LLC",4,general-motors,510,71121262,36,123,1287,5,313,79,8,79
"McNeilus Truck & Manufacturing","McNeilus Truck & Manufacturing, Inc.",2,mcneilus-truck-manufacturing,30,23655,36,57,61,1,18,0,2,80
Braun,"Braun Corporation",2,braun,27,73032,36,53,144,0,15,1,0,81
Newmar,"Newmar Corporation",2,newmar,126,104613,35.5,57,204,1,75,3,2,82
Gillig,"Gillig LLC",3,gillig,79,128735,35,63,833,0,45,5,0,83
"Mitsubishi Motors North America","Mitsubishi Motors North America, Inc.",2,mitsubishi-motors-north-america,72,3898368,35,81,399,0,44,6,0,84
Airstream,"Airstream, Inc.",2,airstream,63,40804,35,60,134,0,35,1,1,85
"Maserati North America","Maserati North America, Inc.",2,maserati-north-america,39,193577,35,60,189,0,28,3,0,86
"Isuzu Technical Center of America","Isuzu Technical Center of America, Inc.",1,isuzu-technical-center-of-america,23,292380,35,59,115,0,16,1,0,87
"Kalmar Solutions","Kalmar Solutions, LLC",1,kalmar-solutions,16,6265,35,72,84,0,10,0,0,88
"Collins Bus","Collins Bus Corporation",2,collins-bus,29,21858,34.5,73,154,0,16,1,1,89
