make,label,campaigns
circle-w,"Circle W",1
clean-fuel,"Clean Fuel",1
clore,Clore,1
hardkore-karts,"Club Car",1
club-card,"Club Car",1
club-car,"Club Car",1
cm,Cm,1
coach-equipment,"Coach Equipment",1
coachmen-rv,Coachmen,1
pm,"Coastal Moto",1
cognito,"Cognito Motorsports",1
columbia,Columbia,1
columbia-parcar,Columbia,1
command,"Command Electronics",1
con-tech,"Con Tech",1
concession-nation,"Concession Nation",1
ttt,Contender,1
coose,"Coose Trailer",1
cornelius,"Corn Pro",1
cornell,Cornell,1
truck-equipment,Cornhusker,1
covercraft,Covercraft,1
covered-wagon,"Covered Wagon Trailers",1
cowtown-sleepers,"Cowtown Sleepers",1
craftsmen,Craftsmen,1
creative-bus-sales,"Creative Bus Sales",1
cross-country,"Cross Country",1
ds-doing-business-as-crossroads-rv,Crossroads,1
ds-doing-business-as-crossroads-rv-crossroads,Crossroads,1
csc,Csc,1
csi,Csi,1
ctw,Ctw,1
cummings,Cummings,1
ngfs,"Cummins Clean Fuel Tech",1
mmdi,"Cummins Power Generation",1
cushman,Cushman,1
travel-units,"Custom Designed",1
custom-trucks,"Custom Truck & Body Works",1
cvg,Cvg,1
tucker-rocky-distribution,"Cyber Helmet",1
battery-biz,Cyntur,1
drv-suites-drv-formerly-doubletree-rv,DRV,1
accubuilt,Dabryan,1
daihatsu,Daihatsu,1
dbnc,Daimler,1
damon,Damon,1
darley,Darley,1
daystar,Daystar,1
daytona,Daytona,1
daytona-helmets,Daytona,1
dba-as-driv,"Dba As Driv",1
ddt,Ddt,1
decked,Decked,1
dejana,Dejana,1
delphi,Delphi,1
denago-ev,"Denago Ev",1
dimplex,Dimplex,1
diode,"Diode Dynamics",1
directed,Directed,1
charles-machine-works,"Ditch Witch",1
the-charles-machine,"Ditch Witch",1
djg,Djg,1
driving-specialties,Dodge,1
doepker,Doepker,1
double-r,"Double R Trailers",1
neotek,Duralast,1
duruxx,Duruxx,1
dynamax,Dynamax,1
hodyon,Dynasys,1
e-ride,"E Ride",1
e-ton,"E Ton",1
e-one-incorporated,E-One,1
eagan,Eagan,1
eagle-eyes,"Eagle Eyes Upi",1
earthroamer,Earthroamer,1
east-trailers,East,1
east-penn,"East Penn Manufacturing",1
east-texas,"East Texas",1
easymile,Easymile,1
paccar-parts-a-division-of-paccar-incorporated,Eaton,1
eberspacher,Eberspacher,1
eclipse-recreational-vehicles,Eclipse,1
sk,Econix,1
les-technologies-ecotuned,"Ecotuned Technologies",1
electra-meccanica,"Electra Meccanica",1
electrameccanica,Electrameccanica,1
electra,Electrameccanica,1
elite-trailer-manufacturing,Elite,1
emcara,Emcara,1
emmett-door,Emmett,1
enc,Enc,1
energy-and-water-solutions,"Energy And Water Solution",1
zh-brothers,Epicord,1
new-heights,Equipter,1
escape,Escape,1
evca,Evca,1
evject,Evject,1
ontario,Evos,1
evs,Evs,1
exiss-sooner-hlg,"Exiss Sooner Hlg",1
explorer-van,"Explorer Van",1
explorer,"Explorer Van Company",1
express-trailers,Express,1
extang,Extang,1
fabtech,Fabtech,1
fairplay,Fairplay,1
falcon,Falcon,1
ff,"Faraday Future",1
farber-specialty,"Farber Specialty",1
fic,Fastec,1
featherlite-trailers,Featherlite,1
felling,Felling,1
ferrara-fire,Ferrara,1
fes,Fes,1
dlt,Fiat,1
dick-s,"Field & Stream",1
field-van,"Field Van",1
first-light,"First Light Safety",1
fivecubits,Fivecubits,1
ysn,"Flame King",1
roadclipper,Fleetneck,1
skymark-refuelers,Flowmark,1
fly,Fly,1
taizhou-qianxin-vehicle-co,"Fly Wing",1
fontaine-trailer-dba-fontaine-heavy-haul,Fontaine,1
almared-dba-a-1-alternative-fuel-systems,Ford,1
landi-renzo,Ford,1
advanced-wheels,Ford,1
tactical,Ford,1
stahl,Ford,1
dual-tech,Ford,1
palfleet,Ford,1
j-c-madigan,Ford,1
versalift,Ford,1
pj-s,Ford,1
adrian,Ford,1
national-fleet,Ford,1
fenton,Ford,1
watts-manufacturing,Ford,1
curbtender,Ford,1
royale,Ford,1
waldoch,Ford,1
weis-fire-safety,Ford,1
fenton-mobility,Ford,1
la-west,Ford,1
quality-vans,Ford,1
marathon-industries,Ford,1
roush-performance-products,Ford,1
formerly-the-liberty,"Formerly the Liberty",1
foundation-ambulance,"Foundation Ambulance",1
four-degree,"Four Degree",1
four-wheel-six-pac,"Four Wheel Six Pac",1
four-winds,"Four Winds",1
fouts,"Fouts Bros.",1
fr-conversions,"Fr Conversions",1
uci,Fram,1
fram,Fram,1
a-1,Freightliner,1
frontrunner,Frontrunner,1
fuel-helmets,"Fuel Helmets",1
full-vision,"Full Vision/ Rogers Bros.",1
fulmer,Fulmer,1
futura,Futura,1
gkn,"GKN Aftermarket",1
galaxy-helmets,GLX,1
garden-state,"Garden State",1
garmin,Garmin,1
hsc,Gates,1
ge-appliances,Ge,1
ge,Ge,1
genera,Genera,1
genuine,"Genuine Scooter",1
geo-heiser-body,"Geo Heiser Body",1
gilbarco,Gilbarco,1
glacier,Glacier,1
american-pacific,Gladiator,1
global,"Global Environmental Prod",1
godwin,Godwin,1
grand-design-rv,"Grand Design",1
joe-s,"Great Lakes",1
greenfield,Greenfield,1
greenpower,Greenpower,1
gulf-tran,"Gulf Tran",1
gulfstream,Gulfstream,1
haier,Haier,1
blackbeards-motorcycle-gear,Hamrhead,1
htac,Hankook,1
harbinger,"Harbinger Motors",1
harley,Harley-Davidson,1
kbc,Harley-Davidson,1
harmony,Harmony,1
b-m,Haul-Rite,1
haulmark-industries,Haulmark,1
universal-trailer,Haulmark,1
haulmark,Haulmark,1
thh,Hawk,1
syncro,"Hayes Sway Master",1
liquid-transport,Hays,1
darsan,Hci,1
darsan-trading-co-darsan-dba-as-helmet-city,Hci,1
hd-trailer,"Hd Trailer",1
heartland-recreational-vehicles,Heartland,1
heartland-recreational-vehicles-heartland,Heartland,1
9299-5000-quebec,Helio,1
hercules-enterprises,"Hercules Enterprises",1
hexagon-purus,"Hexagon Purus",1
hi-tech-e-v-s,"Hi Tech E V S",1
hi-tech,"Hi-Tech E.v.s.",1
hatc,"High Altitude Trailer",1
ningbo,"Hikari Technology",1
hillboro,Hillsboro,1
hiniker,Hiniker,1
jrts,Hino,1
iti,Hino,1
hispec,Hispec,1
hitch-hiker,"Hitch Hiker",1
nu-wa-industries,Hitchhiker,1
hollywood-racks,"Hollywood Racks",1
homesteader,Homesteader,1
horton-vans,Horton,1
harsco-rail,Hy-Rail,1
walmart,"Hyper Tough",1
couture-co,Hyperax,1
ht,"Hyundai Translead",1
hyundam,"Hyundam Industrial",1
american-surplus,"Ice Castle",1
j-tech,Icon,1
icon,Icon,1
idle-free,Ifs,1
imperial-supplies-a-division-of-w-w-grainger,Imperial,1
imc,Indian,1
induction-solutions,"Induction Solutions",1
worldwide,Ingusa,1
