reference,launched,make,models,concern,vehicles,rewrites_caught,page
R/2023/002,2023-01-09,"Renault Trucks","T High, T and C","The screws for the front axle attachment might lose torque or come loose.",342,0,https://carsmultiverse.com/uk-recall/r-2023-002/
R/2022/363,2023-01-09,Kia,Sorento,"The High Pressure Electric Oil Pump within the eight-speed dual-clutch transmission (DCT) may experience an internal fault",916,0,https://carsmultiverse.com/uk-recall/r-2022-363/
R/2022/355,2023-01-07,Mg,MG4,"Potential for MG4 vehicles to superlock whilst still in running mode",1960,0,https://carsmultiverse.com/uk-recall/r-2022-355/
RM/2023/001,2023-01-04,Ktm,"300 EXC SIX Days","The clutch slave cylinder seal may have been damaged during the manufacturing process.",6,0,https://carsmultiverse.com/uk-recall/rm-2023-001/
R/2022/348,2023-01-04,Mercedes-Benz,EQE,"The manufacturer has determined that certain EQE (295 platform) vehicles might not be equipped with the correct Electronic Stability Program (ESP) software version.",4,0,https://carsmultiverse.com/uk-recall/r-2022-348/
R/2023/001,2022-12-23,Porsche,Taycan,"On the affected vehicles there is a possibility that both air-spring struts on the front axle were not manufactured according to specification.",24,0,https://carsmultiverse.com/uk-recall/r-2023-001/
R/2022/361,2022-12-21,"Toyota (Gb)",GR86,"The DCM (Data Communication Module) was not activated prior to delivery",285,0,https://carsmultiverse.com/uk-recall/r-2022-361/
R/2022/359,2022-12-21,Audi,"E-Tron GT","There may have been a discrepancy in the manufacturing process for the air spring strut",9,0,https://carsmultiverse.com/uk-recall/r-2022-359/
R/2022/358,2022-12-19,"Polestar Automotive","Polestar 1","Investigations have identified that there may be a potential issue with the high-voltage battery.",5,0,https://carsmultiverse.com/uk-recall/r-2022-358/
R/2022/353,2022-12-16,"Mclaren Automotive",Artura,"On affected vehicles the nut of the high-pressure fuel pipe can potentially loosen from the direct injection fuel pump leading to a fuel leak.",42,0,https://carsmultiverse.com/uk-recall/r-2022-353/
R/2022/356,2022-12-14,"Volvo Trucks","FHE, FME, FM and 1 more","Screws that attach the front axle to the suspension may require tightening",1188,0,https://carsmultiverse.com/uk-recall/r-2022-356/
RSPV/2022/021,2022-12-13,Polaris,"Ranger XP 1000, Crew 1000, Ranger XP 1000 Crew and 1 more","A fuel leak at the fuel pump outlet connector on the fuel tank may occur.",68,0,https://carsmultiverse.com/uk-recall/rspv-2022-021/
RM/2022/036,2022-12-13,Kawasaki,"ZX1002, ZX1000 and ZR1000","The plunger in the camshaft-chain tensioner can lock up during usage due to deterioration of internal parts",6870,0,https://carsmultiverse.com/uk-recall/rm-2022-036/
RM/2022/035,2022-12-13,Kawasaki,"Ninja H2 SX (ZX1002PN) and Ninja H2 SX SE (ZX1002RN)","On eligible units and models an improper control programme in the multi-function meter may exist.",350,0,https://carsmultiverse.com/uk-recall/rm-2022-035/
R/2023/046,2022-12-13,Citroen,"DS3, C3 Aircross V2, Berlingo V3 and 4 more","On the affected vehicles the operation of the brake vacuum pump may be affected by material detaching from the timing belt caused by the ageing of the engine oil.",4564,0,https://carsmultiverse.com/uk-recall/r-2023-046/
R/2023/045,2022-12-13,Peugeot,"308 V2, 5008 V2, 3008 V2 and 3 more","On the affected vehicles the operation of the brake vacuum pump may be affected by material detaching from the timing belt caused by the ageing of the engine oil.",5712,0,https://carsmultiverse.com/uk-recall/r-2023-045/
R/2023/036,2022-12-13,Citroen,"C4 V2, C4 Picasso, Berlingo V3 and 5 more","On the affected vehicles the operation of the brake vacuum pump may be affected by material detaching from the timing belt caused by the ageing of the engine oil.",109920,0,https://carsmultiverse.com/uk-recall/r-2023-036/
R/2023/035,2022-12-13,Peugeot,"5008 V2, 308 V2, 2008 V1 and 3 more","On the affected vehicles the operation of the brake vacuum pump may be affected by material detaching from the timing belt caused by the ageing of the engine oil.",150888,0,https://carsmultiverse.com/uk-recall/r-2023-035/
R/2022/352,2022-12-13,Vauxhall,"Grandland X and Crossland X","Update the vehicle s software in order to improve the diagnosis of the braking assistance system and avoid any risk of reduction or loss of braking assistance",20200,0,https://carsmultiverse.com/uk-recall/r-2022-352/
R/2022/360,2022-12-12,Mercedes-Benz,EQE,"The connection of the B-pillar trim to the structural inlay might not meet specifications",100,0,https://carsmultiverse.com/uk-recall/r-2022-360/
R/2022/349,2022-12-08,"Dennis Eagle",Elite,"A Degrade of emissions control component may occur",374,0,https://carsmultiverse.com/uk-recall/r-2022-349/
R/2022/331,2022-12-05,"Toyota (Gb)",Proace,"Some vehicles may have been equipped with an incorrectly positioned fuel pipe.",1216,0,https://carsmultiverse.com/uk-recall/r-2022-331/
R/2022/347,2022-12-02,Peugeot,208,"Some braking and suspension components may not have been tightened to the correct torque during assembly.",4,0,https://carsmultiverse.com/uk-recall/r-2022-347/
R/2022/338,2022-12-01,Peugeot,"Traveller and Expert","The fuel line could make contact with the body and lead to fuel leakage",4462,0,https://carsmultiverse.com/uk-recall/r-2022-338/
R/2022/337,2022-12-01,Citroen,"Spacetourer and Dispatch IV","Some vehicles may have been equipped with an incorrectly positioned fuel pipe.",3014,0,https://carsmultiverse.com/uk-recall/r-2022-337/
R/2022/267,2022-12-01,Suzuki,"S-Cross, Swift, Swift Sport and 2 more","Some vehicles have an inappropriate design and material on check valve of vacuum pump",357540,0,https://carsmultiverse.com/uk-recall/r-2022-267/
RSPV/2023/001,2022-11-30,Kubota,"M6-122, M6-142 and M6-132","The brake performance of affected models can reduce due to thermal deformation of the tractors brake discs/plates particularly when operated on an incline or decline.",201,0,https://carsmultiverse.com/uk-recall/rspv-2023-001/
RSPV/2022/017,2022-11-30,"Trigano Spa","Roller Team Voyager, Roller Team Auto Roller, Roller Team Trekker and 5 more","Cycle carrier can become distorted and fatigued in normal use which could lead to failure of the carrier.",7072,0,https://carsmultiverse.com/uk-recall/rspv-2022-017/
RM/2022/034,2022-11-30,"Hi-Fi Confidential","Mate City/icon 500 and Mate X 750","Certain bikes are illegal for use on the road as they are not type approved to the required standards",392,0,https://carsmultiverse.com/uk-recall/rm-2022-034/
R/2022/328,2022-11-30,Kia,Sorento,"There is a risk the automatic gear shift lever could be moved out of Park without the foot brake pedal being applied. If this occurs and should the parking brake not be activated a vehicle rollaway could occur.",295,0,https://carsmultiverse.com/uk-recall/r-2022-328/
R/2022/325,2022-11-30,Ford,Kuga,"Some Kuga vehicles with a panoramic roof may have a fixed glass panel with poor adhesion to the roof frame assembly",2359,0,https://carsmultiverse.com/uk-recall/r-2022-325/
RSPV/2022/019,2022-11-29,Polaris,"Sportsman 570 and Sportsman 450","A wiring harness may have been improperly assembled by the supplier and wires may contact the brake line and/or vehicle frame resulting in potential loss of front brakes and/or fire",976,0,https://carsmultiverse.com/uk-recall/rspv-2022-019/
R/2022/350,2022-11-29,"Volvo Bus",B0E(3),"The installed 15 A fuse protecting the DRL (Daytime Running Lights) has an amperage rating which is too large",101,0,https://carsmultiverse.com/uk-recall/r-2022-350/
R/2022/335,2022-11-29,Mercedes-Benz,"V Class","The routing of the interior wiring harness in the area of the centre console might not meet specifications",8,0,https://carsmultiverse.com/uk-recall/r-2022-335/
RPT/2022/005,2022-11-28,Fautras,Oblics,"The wheel bolts may have been tightened with insufficient tightening torque and incompatible wheel bolts may have been used",6,0,https://carsmultiverse.com/uk-recall/rpt-2022-005/
RM/2022/033,2022-11-28,"Bmw Motorrad","K1600 GT, K1600GTL and K1600B","In transmissions for replacement free gearwheels 6th gear were installed that do not meet the specifications.",15,0,https://carsmultiverse.com/uk-recall/rm-2022-033/
R/2022/340,2022-11-28,Bmw,X1,"One or both of the front panoramic sunroof drain tubes may be cracked this could result in water entering the interior of the vehicle. The wiring harness and body control unit (BCP) can be exposed to water and damaged.",77,0,https://carsmultiverse.com/uk-recall/r-2022-340/
R/2023/004,2022-11-25,"Scania Truck","S500 A6X2NB and P360 B6X2*4NB","The clamping force on the pinion bearing has become too low when fitting the nut to the end yoke",4,0,https://carsmultiverse.com/uk-recall/r-2023-004/
R/2022/289,2022-11-24,Mercedes-Benz,"AMG SL","The roof frame panel above the windshield could have been insufficiently attached to the vehicle",56,0,https://carsmultiverse.com/uk-recall/r-2022-289/
RM/2022/039,2022-11-22,"Indian Motorcycle Company","Scout and Chief","Certaint motorcycles may experience a failure at the fuel pump during operation",628,0,https://carsmultiverse.com/uk-recall/rm-2022-039/
RM/2022/024,2022-11-22,"Mate Ebike","Mate X 1000W, Mate X 750W and Mate City 500W","Certain bikes are illegal for use on the road as they are not type approved to the required standards",720,0,https://carsmultiverse.com/uk-recall/rm-2022-024/
R/2022/332,2022-11-21,Vauxhall,"Vivaro C","Some vehicles may have been equipped with an incorrectly positioned fuel pipe.",4861,0,https://carsmultiverse.com/uk-recall/r-2022-332/
R/2022/307,2022-11-21,"Toyota (Gb)",Proace,"UREA INJECTION SYSTEM MAY NOT FUNCTION AS REQUIRED",268,0,https://carsmultiverse.com/uk-recall/r-2022-307/
R/2022/286,2022-11-21,"Toyota (Gb)","Aygo X","POSSIBILITY OF A WRONG BRAKE PEDAL INSTALLED.",414,0,https://carsmultiverse.com/uk-recall/r-2022-286/
R/2022/354,2022-11-18,Audi,Q3,"Certain vehicles may have been fitted with a rear window which does not conform to the manufacturer s quality requirements.",100,0,https://carsmultiverse.com/uk-recall/r-2022-354/
R/2022/336,2022-11-18,Iveco,Daily,"Potential damage to the front brake hose caused by an incorrect layout of the pipes and / or by the wiring provided for the optional EPB (Electronic Park Brake) / TPMS (Tyre Pressure Monitoring System) with consequent possibility of gradual loss of efficiency of the braking system",1547,0,https://carsmultiverse.com/uk-recall/r-2022-336/
RSPV/2022/020,2022-11-17,Swift,Basecamp,"There is a possibility that the front trim panels could become detached from the caravan during transit if they have not been secured correctly.",127,0,https://carsmultiverse.com/uk-recall/rspv-2022-020/
R/2022/344,2022-11-17,"Volvo Bus",B8L(3),"The turbocharger may permit an excessive amount of oil carry over to the charge air circuit after a short period of time in service.",101,0,https://carsmultiverse.com/uk-recall/r-2022-344/
R/2022/329,2022-11-16,Vauxhall,"Insignia A","The rear toe link may have material loss over vehicle lifetime due to corrosion.",167237,0,https://carsmultiverse.com/uk-recall/r-2022-329/
R/2022/312,2022-11-15,"Mercedes-Benz Vans","Sprinter 906","Specific climatic conditions may over time cause a chemical change in the propellant in the airbag inflator of certain Takata airbags. In the event of an accident in which the airbag is deployed this change could cause the airbag inflator to burst due to increased internal pressure.",53,0,https://carsmultiverse.com/uk-recall/r-2022-312/
R/2022/322,2022-11-14,Bmw,I3,"During supplier s production process of the battery cells a manufacturing defect occurred with the winding of cell-internal films for the high-voltage battery.",18,0,https://carsmultiverse.com/uk-recall/r-2022-322/
R/2022/317,2022-11-14,Hyundai,"Kona OS","Some vehicles might experience the MIL (Malfunction indicator lamp) becoming illuminated on the vehicle instrument cluster and the high-pressure fuel pump may become damaged by glass fibre strands which have emanated from within the fuel filter assembly",64,0,https://carsmultiverse.com/uk-recall/r-2022-317/
R/2022/316,2022-11-14,Hyundai,"Nexo FE","HYDROGEN GAS LEAKAGE IN THE FUEL LINE RECEPTACLE (FUEL FILLER CONNECTION).",5,0,https://carsmultiverse.com/uk-recall/r-2022-316/
R/2022/311,2022-11-14,"Toyota (Gb)","Aygo X","DUE TO AN IMPROPER LUBRICANT USED DURING THE MANUFACTURING PROCESS THE IMPROPER LUBRICANT MIGHT CONTAMINATE THE VACUUM CHECK VALVE",520,0,https://carsmultiverse.com/uk-recall/r-2022-311/
R/2022/288,2022-11-14,"Toyota (Gb)","Aygo X and BZ4X","CURTAIN SHIELD AIRBAG STRAPS THAT SUPPORT PROPER AIRBAG DEPLOYMENT MIGHT NOT HAVE BEEN ROUTED CORRECTLY",1526,0,https://carsmultiverse.com/uk-recall/r-2022-288/
R/2022/287,2022-11-14,"Toyota (Gb)","Yaris HEV","DUE TO AN IMPROPER PROGRAMMING OF HYBRID SYSTEM VEHICLE MIGHT NOT ENTER A FAILSAFE DRIVING MODE.",6857,0,https://carsmultiverse.com/uk-recall/r-2022-287/
R/2022/333,2022-11-11,Iveco,"Stralis, S WAY, X WAY and 1 more","The Front axle leave spring retainers (U-Bolts) could work loose or may be lost during a driving cycle.",8312,0,https://carsmultiverse.com/uk-recall/r-2022-333/
R/2022/309,2022-11-11,Mercedes-Benz,GLS,"THE SPRINGS IN THE LOCKING MECHANISM OF THE SEAT BACKREST OF THE THIRD SEAT ROW MAY NOT HAVE BEEN INSTALLED IN ACCORDANCE WITH THE SPECIFICATIONS",1088,0,https://carsmultiverse.com/uk-recall/r-2022-309/
R/2022/310,2022-11-10,Mercedes-Benz,"E-Class and CLS","THE ATTACHMENT FOR THE 12V BATTERY IN THE LUGGAGE COMPARTMENT MAY NOT WITHSTAND THE LOADS IN THE EVENT OF AN ACCIDENT",7290,0,https://carsmultiverse.com/uk-recall/r-2022-310/
R/2022/306,2022-11-10,"Fiat Chrysler",Ulysse,"INCORRECTLY POSITIONED FUEL PIPE",1,0,https://carsmultiverse.com/uk-recall/r-2022-306/
R/2022/305,2022-11-10,"Fiat Chrysler",Scudo,"INCORRECTLY POSITIONED FUEL PIPE",4,0,https://carsmultiverse.com/uk-recall/r-2022-305/
R/2022/334,2022-11-09,Porsche,991,"The screw connection of the belt end fitting on the driver's seat as well as the passenger seat may not comply with the specifications.",10,0,https://carsmultiverse.com/uk-recall/r-2022-334/
R/2022/323,2022-11-09,Bmw,"M3 Saloon and 3 Series Touring","It is possible that a damaged seat belt may have been installed into the vehicle during production.",14,0,https://carsmultiverse.com/uk-recall/r-2022-323/
R/2022/327,2022-11-08,Ford,"Tourneo Connect","The lower control arm might not meet manufacturing specification due to missing weld seams",3,0,https://carsmultiverse.com/uk-recall/r-2022-327/
RSPV/2022/018,2022-11-07,Polaris,"Scrambler 1000S and Sportsman 1000S","Fuel may ignite by electrostatic discharge outside the fuel tank whilst refuelling.",256,0,https://carsmultiverse.com/uk-recall/rspv-2022-018/
R/2022/302,2022-11-07,Mercedes-Benz,C-Class,"A WELD SEAM OF THE SUPPORTING STRUCTURE OF THE TRANSMISSION CONNECTION MAY NOT CORRESPOND WITH THE SPECIFICATIONS",3,0,https://carsmultiverse.com/uk-recall/r-2022-302/
R/2022/301,2022-11-07,Mercedes-Benz,C-Class,"THE HOLDING FORCE OF THE FUEL FEED LINE MAY NOT CORRESPOND WITH THE SPECIFICATIONS",702,0,https://carsmultiverse.com/uk-recall/r-2022-301/
RM/2022/031,2022-11-04,Ktm,"1290 Super Duke RR, 1290 Super Duke R and 1290 Super Duke R EVO","As a result of continual product development the routing of the main wiring harness has been improved on the affected models.",3936,0,https://carsmultiverse.com/uk-recall/rm-2022-031/
R/2022/324,2022-11-04,"Renault Trucks","T High and T","THE POWER CABLE FROM THE BATTERY BOX TO THE CAB AND ENGINE MIGHT BE DAMAGED BY CHAFING",116,0,https://carsmultiverse.com/uk-recall/r-2022-324/
R/2022/320,2022-11-04,Vw,Caddy,"On vehicles of a limited production period there is a very small probability that one or two incorrectly welded transverse links to the front axle have been fitted.",335,0,https://carsmultiverse.com/uk-recall/r-2022-320/
RCOMP/2022/009,2022-11-03,"Alliance Automotive","Jaguar X-Type AKM1093 and Jaguar X-Type NKM1093","Bearing may detach from the top mount assembly",288,0,https://carsmultiverse.com/uk-recall/rcomp-2022-009/
R/2022/319,2022-11-03,Vauxhall,Combo,"LOWER ENGINE PROTECTION COVER",507,0,https://carsmultiverse.com/uk-recall/r-2022-319/
R/2022/318,2022-11-03,Vauxhall,Combo,"LANE KEEPING ASSIST MODE",1761,0,https://carsmultiverse.com/uk-recall/r-2022-318/
R/2022/142,2022-11-01,Ford,Ranger,"VEHICLES COULD SUFFER A DIFFERENTIAL DRIVE PINION FAILURE",14717,0,https://carsmultiverse.com/uk-recall/r-2022-142/
RSPV/2022/014,2022-10-31,"Brp-Can Am","Ryker 900, Ryker Rally 900 ACE, Ryker 900 ACE and 4 more","LIGHT AND FLASHER ELECTRICAL HARNESS IN FRONT FENDERS MAY BE LOOSE AND RUB ON THE TYRE",3122,0,https://carsmultiverse.com/uk-recall/rspv-2022-014/
RM/2022/029,2022-10-31,"Bmw Motorrad","S1000RR, S1000R, S1000XR and 1 more","THE CLUTCH COVER SCREWS MAY LOOSEN",2760,0,https://carsmultiverse.com/uk-recall/rm-2022-029/
RM/2022/028,2022-10-31,"Bmw Motorrad",CE04,"THE SCREW CONNECTION OF THE HORN TO THE FRAME MAY COME LOOSE UNDER CERTAIN CONDITIONS",91,0,https://carsmultiverse.com/uk-recall/rm-2022-028/
R/2022/308,2022-10-28,Ford,Ranger,"THERE IS A POSSIBILITY THAT THE STEERING COLUMN BOLT MAY NOT BE CORRECTLY TIGHTENED TO SPECIFICATION",433,0,https://carsmultiverse.com/uk-recall/r-2022-308/
R/2022/315,2022-10-27,Porsche,"Macan Turbo and Macan S","On affected vehicles certain software parameters used in Type Approval were not used in production. There are no indications the deviations affect safety and declared fuel consumption and CO2 emissions values.",8114,0,https://carsmultiverse.com/uk-recall/r-2022-315/
R/2022/313,2022-10-27,"Volvo Car","S90, V90, S60 and 3 more","A SOFTWARE ERROR MAY PREVENT THE ENGINE CONTROL MODULE FROM STARTING THE ENGINE",28530,0,https://carsmultiverse.com/uk-recall/r-2022-313/
R/2022/304,2022-10-27,Ford,Kuga,"LOWER SEATBELT BOLT MAY NOT BE TIGHTENED TO SPECIFICATION",35,0,https://carsmultiverse.com/uk-recall/r-2022-304/
RM/2022/030,2022-10-26,"Harley Davidson","CVO Touring, CVO Trike, Trike and 1 more","Certain machines may exhibit a condition that can result in the brake lamp(s) remaining illuminated regardless of whether the service brakes are applied.",11228,0,https://carsmultiverse.com/uk-recall/rm-2022-030/
R/2022/300,2022-10-26,Mercedes-Benz,"SL, C-Class, S-Class and 2 more","SOFTWARE OF THE COMMUNICATION MODULE MAY NOT CORRESPOND WITH THE SPECIFICATIONS",280,0,https://carsmultiverse.com/uk-recall/r-2022-300/
RTW/2022/002,2022-10-24,Avon,"225/45R19 96Y Avon ZX7 and 235/65R17 104V Avon ZX7","SOME TYRES MAY BE AFFECTED BY A MANUFACTURING VARIATION THAT CAN LEAD TO A LACK OF ADHESION WITHIN THE TYRE CARCASS COMPONENTS",68,0,https://carsmultiverse.com/uk-recall/rtw-2022-002/
R/2025/180,2022-10-24,"Cooper Tire","255/60R18 112V Cooper Zeon 4XS Sport","SOME TYRES MAY BE AFFECTED BY A MANUFACTURING VARIATION THAT CAN LEAD TO A LACK OF ADHESION WITHIN THE TYRE CARCASS COMPONENTS",203,0,https://carsmultiverse.com/uk-recall/r-2025-180/
R/2022/290,2022-10-24,Mercedes-Benz,C-Class,"Water ingress into the trunk and therefore moisture might enter into the signal acquisition and actuation module",1564,0,https://carsmultiverse.com/uk-recall/r-2022-290/
R/2022/284,2022-10-24,Mercedes-Benz,GLB,"Mechanical damage to the ESP unit",6,0,https://carsmultiverse.com/uk-recall/r-2022-284/
R/2022/283,2022-10-24,Mercedes-Benz,"GLS and GLE","The fixation of the trim bar at the rear door windows might not meet specifications",28028,0,https://carsmultiverse.com/uk-recall/r-2022-283/
R/2022/265,2022-10-24,"Mercedes-Benz Vans","Sprinter 906","The driver airbag may not deploy correctly if activated.",102548,0,https://carsmultiverse.com/uk-recall/r-2022-265/
R/2022/330,2022-10-21,Bmw,"I4 and IX","During the supplier s production process of the battery cells a manufacturing defect occurred. During assembly of the cell the cathode plate may have been damaged and a broken piece may have entered the interior of the cell.",422,0,https://carsmultiverse.com/uk-recall/r-2022-330/
R/2022/314,2022-10-20,Citroen,C5X,"There is the possibility that the rubber fuel pipe could have potentially been damaged during the crimping process which could lead to a fuel leak of the low pressure fuel pipe.",2,0,https://carsmultiverse.com/uk-recall/r-2022-314/
R/2022/303,2022-10-20,Audi,A3,"RESTRAINING CAPACITY OF THE BELT SYSTEM FOR THE FRONT SEATS MAY BE LOWER THAN INTENDED IN THE EVENT OF AN ACCIDENT",174,0,https://carsmultiverse.com/uk-recall/r-2022-303/
R/2022/296,2022-10-18,Mercedes-Benz,GLC,"THE WIRING HARNESS AT THE B-PILLAR MIGHT BE DAMAGED.",1,0,https://carsmultiverse.com/uk-recall/r-2022-296/
R/2022/277,2022-10-18,"Alfa Romeo",Tonale,"Some vehicles may have been fitted with a braking system module that contains an electronic glitch/bug.",107,0,https://carsmultiverse.com/uk-recall/r-2022-277/
R/2022/276,2022-10-18,Mercedes-Benz,GLC,"The support of the windowbag in the area of the B-pillar might not meet specifications.",1,0,https://carsmultiverse.com/uk-recall/r-2022-276/
R/2022/299,2022-10-17,Citroen,Berlingo,"THE LOWER METAL ENGINE PROTECTION GUARD AND THE UNDERSIDE OF THE ENGINE EXHAUST SYSTEM COULD TRAP MATERIAL IN IT.",630,0,https://carsmultiverse.com/uk-recall/r-2022-299/
R/2022/298,2022-10-17,Peugeot,"Rifter and Partner","THE LOWER METAL ENGINE PROTECTION GUARD AND THEUNDERSIDE OF THE ENGINE EXHAUST SYSTEM COULD TRAP MATERIAL IN IT.",3454,0,https://carsmultiverse.com/uk-recall/r-2022-298/
R/2022/297,2022-10-17,Bmw,"3 Series Saloon","MANUFACTURING DEFECT WITH WINDING OF CELL-INTERNAL FILMS FOR HIGH VOLTAGE BATTERY",1,0,https://carsmultiverse.com/uk-recall/r-2022-297/
R/2022/294,2022-10-17,Bmw,X7,"SPRING IN BACKREST MECHANISM OF THIRD ROW SEATING MAY BE INCORRECTLY INSTALLED",4,0,https://carsmultiverse.com/uk-recall/r-2022-294/
RM/2022/027,2022-10-14,"Harley Davidson","2022 Nightster RH975","The handlebar on certain Model Year 2022 RH975 Nightster motorcycles may have a weld quality issue that could lead to separation between the inner and outer sections of the handlebar.",93,0,https://carsmultiverse.com/uk-recall/rm-2022-027/
R/2023/123,2022-10-14,Audi,R8,"The airbag gas generator on the passenger side of an affected vehicle could burst in the event of an accident in which the airbag is triggered.",1,0,https://carsmultiverse.com/uk-recall/r-2023-123/
RSPV/2022/015,2022-10-13,Polaris,"Trail Performance, Matryx and Axys","Some snowmobiles may pose a risk of fire due to electrostatic discharge (ESD) inside the fuel tank",6,0,https://carsmultiverse.com/uk-recall/rspv-2022-015/
R/2022/295,2022-10-12,Vauxhall,"Insignia B","THE HYDRAULIC BRAKE COMPENSATION (VACUUM) PUMP MAY NOT GET ACTIVATED .",34294,0,https://carsmultiverse.com/uk-recall/r-2022-295/
RM/2022/026,2022-10-10,Ducati,"Hypermotard 939 Dmhdmt, Hypermotard 939 Std/sp DMH and Hypermotard 939 Stddmt","OIL LEAKAGE FROM THE HOSES.",1056,0,https://carsmultiverse.com/uk-recall/rm-2022-026/
R/2022/293,2022-10-10,Vauxhall,"Corsa Electric","SOFTWARE DOES NOT ALLOW CONFORMITY TESTING",6361,0,https://carsmultiverse.com/uk-recall/r-2022-293/
R/2022/292,2022-10-10,Vw,"Cross Sport and Atlas","IN A SIDE CRASH THERE MAY BE A DELAY IN DEPLOYMENT OF THE SIDE AIRBAG",12,0,https://carsmultiverse.com/uk-recall/r-2022-292/
R/2022/269,2022-10-07,Chrysler,"Dodge Challenger, 300 C and Dodge Charger","The Tyre Pressure Monitor System (TPMS) sensors may prematurely discharge its battery making the TPMS sensor inoperative",15,0,https://carsmultiverse.com/uk-recall/r-2022-269/
R/2022/263,2022-10-07,"Fiat Chrysler",Ducato,"Certain kinds of vehicle acceleration could cause the speed limiter to turn off.",3,0,https://carsmultiverse.com/uk-recall/r-2022-263/
R/2023/051,2022-10-06,Byd,"Enviro 200","The HVAC DCAB protection box may become loose resulting in damage to wiring and overheating /electrical short.",220,0,https://carsmultiverse.com/uk-recall/r-2023-051/
R/2023/017,2022-10-05,"Daimler Truck","Arocs 964","The positive battery cable may have been incorrectly fastened or routed. As a result the cable may come into contact with a holder and could become worn through leading to a short circuit.",18,0,https://carsmultiverse.com/uk-recall/r-2023-017/
R/2022/282,2022-10-05,Bmw,"IX and 2 Series Active Tourer","IN THE EVENT OF A RESTRAINT SYSTEM FAULT THE AIRBAG WARNING LIGHT OR WARNING MESSAGE IS NOT DISPLAYED TO THE DRIVER DUE TO A SOFTWARE ERROR",8626,0,https://carsmultiverse.com/uk-recall/r-2022-282/
R/2022/274,2022-10-04,Vw,Polo,"THE DRIVER'S AIRBAG MAY NOT CORRECTLY DEPLOY IF ACTIVATED",21,0,https://carsmultiverse.com/uk-recall/r-2022-274/
R/2022/281,2022-10-03,Bmw,Mini,"The high-pressure fuel rail may not have been produced according to specifications",1,0,https://carsmultiverse.com/uk-recall/r-2022-281/
R/2022/280,2022-10-03,Bmw,X1,"The high-pressure fuel rail may not have been produced according to specifications",1,0,https://carsmultiverse.com/uk-recall/r-2022-280/
RPT/2023/002,2022-09-30,"Neville Porter Trailers","2 Axle Beavertail, 2 Axle Plant, 2 Axle Builders and 6 more","Trailers have been supplied without necessary type approval certification",756,0,https://carsmultiverse.com/uk-recall/rpt-2023-002/
R/2022/279,2022-09-30,Mercedes-Benz,"R Class, ML and GL","The function of the brake booster might be affected due to advanced corrosion in the joint area of its housing.",654,0,https://carsmultiverse.com/uk-recall/r-2022-279/
R/2022/278,2022-09-30,Mercedes-Benz,"R Class, GL and ML","The function of the brake booster might be affected due to advanced corrosion in the joint area of its housing.",19326,0,https://carsmultiverse.com/uk-recall/r-2022-278/
R/2022/271,2022-09-28,"Mercedes-Benz Vans","Vito 447","The rear view camera could display frozen images due to a defect in a memory chip",13217,0,https://carsmultiverse.com/uk-recall/r-2022-271/
RM/2022/025,2022-09-27,"Husqvarna Motorcycles","FC 250","SEAL OF THE CLUTCH SLAVE CYLINDER MAY HAVE BEEN DAMAGED DURING ASSEMBLY",6,0,https://carsmultiverse.com/uk-recall/rm-2022-025/
R/2022/285,2022-09-27,Peugeot,208,"COMPONENT FIXINGS COULD HAVE BEEN TIGHTENED TO INCORRECT TORQUE SETTINGS",2,0,https://carsmultiverse.com/uk-recall/r-2022-285/
R/2022/264,2022-09-26,"Mercedes-Benz Vans","Sprinter 906","The driver airbag may not deploy correctly if activated",62660,0,https://carsmultiverse.com/uk-recall/r-2022-264/
R/2022/268,2022-09-23,"Fiat Chrysler",500,"The positive lead on the auxiliary battery terminal may not be tightened correctly.",6,0,https://carsmultiverse.com/uk-recall/r-2022-268/
R/2021/413,2022-09-23,Mercedes-Benz,Viano,"THE DRIVER'S AIRBAG MAY NOT CORRECTLY DEPLOY IF ACTIVATED",2824,0,https://carsmultiverse.com/uk-recall/r-2021-413/
R/2022/192,2022-09-22,"Mercedes-Benz Vans","Sprinter 906","THE DRIVER'S FRONT AIR BAG MAY NOT DEPLOY AS INTENDED",234,0,https://carsmultiverse.com/uk-recall/r-2022-192/
RPT/2022/004,2022-09-21,"Ifor Williams",TG,"WHEEL BEARING MAY EXPERIENCE PREMATURE FAILURE",7487,0,https://carsmultiverse.com/uk-recall/rpt-2022-004/
R/2022/232,2022-09-21,"Daimler Truck","Fuso 7C15 AMT/3400-CHASSIS and Fuso 7C18 AMT/3400-CHASSIS","There is a potential risk of the front or rear spring eye on affected vehicles breaking where front leaf springs from a defective production batch may have been installed.",102,0,https://carsmultiverse.com/uk-recall/r-2022-232/
R/2022/275,2022-09-20,Citroen,"DS7 Crossback","On the affected vehicles some DS7 CROSSBACK equipped with ESP (electronic stability program) may be fitted with the incorrect calibration when operating in All-Wheel Drive",6,0,https://carsmultiverse.com/uk-recall/r-2022-275/
RCOMP/2022/008,2022-09-19,Bpw,"TS2 Caliper","A faulty seal in the caliper housing can under some circumstances allow moisture to enter the caliper and cause corrosion on the internal automatic brake adjustment mechanism",3440,0,https://carsmultiverse.com/uk-recall/rcomp-2022-008/
R/2022/266,2022-09-19,Subaru,"Forester and BRZ","THE IMPELLER DEFORMATION MAY CAUSE THE FUEL PUMP TO BECOME INOPERATIVE",198,0,https://carsmultiverse.com/uk-recall/r-2022-266/
