uk_reference,uk_launched,make,models,manufacturer_code,us_campaign,us_filed,days_uk_to_us,canada_recall,canada_date,eu_alerts,page
R/2019/156,2020-08-21,Ford,"MKX, Edge, Fusion and 5 more",19S01,16V384,2016-05-31,-1543,2019005,2019-01-08,1,https://carsmultiverse.com/uk-recall/r-2019-156/
R/2020/175,2020-08-19,Ford,Focus,20S28,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-175/
RM/2020/031,2020-08-17,Ducati,"Panigale V4S, Street Fighter V4S, Street Fighter V4 and 1 more",CR199,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-031/
RM/2020/033,2020-08-17,Triumph,"Street Scrambler",SRAN584,,,,2020374,2020-08-14,1,https://carsmultiverse.com/uk-recall/rm-2020-033/
RM/2020/050,2020-08-17,Ducati,"Scrambler 1100",CR201,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-050/
R/2020/219,2020-08-10,Bmw,"Z4, X4M and 3 Series",0032140300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-219/
RM/2020/030,2020-08-05,Triumph,"Tiger 900 GT LOW, Tiger 900 GT, Tiger 900 Rally PRO and 3 more",SRAN582,,,,2020354,2020-08-04,1,https://carsmultiverse.com/uk-recall/rm-2020-030/
R/2020/190,2020-07-27,"Toyota (Gb)","Auris HV and Prius",20SMD058,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-190/
R/2020/215,2020-07-23,"Mercedes Benz Bus","Citaro U, Citaro, Citaro G NGT and 9 more",3200M20102A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-215/
R/2020/187,2020-07-20,Kia,"Sorento and Sedona",201021,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-187/
R/2020/210,2020-07-16,"Volvo Car","V60, XC60, V60CC and 7 more",R10026R10027R10028R10030,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-210/
R/2020/205,2020-07-08,"Volvo Car","V60CC, S80, S60CC and 7 more",R10025,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-205/
RSPV/2020/012,2020-07-02,Polaris,"RZR PRO XP / PRO XP 4, RZR XP / XP 4 Turbo S, RZR XP / XP 4 1000 and 1 more",Z2005,,,,2020331,2020-07-20,1,https://carsmultiverse.com/uk-recall/rspv-2020-012/
RM/2020/029,2020-07-02,"Husqvarna Motorcycles","Vitpilen 701, Svartpilen 701 and Svartpilen 701 Style",071776254,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-029/
R/2020/196,2020-07-02,Ford,Kuga,20S34,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-196/
R/2020/192,2020-07-01,"Volvo Car","V60CC, XC60, S80 and 5 more",R10029,,,,2020298,2020-06-30,1,https://carsmultiverse.com/uk-recall/r-2020-192/
R/2020/222,2020-07-01,Ssangyong,"Korando and Tivoli",ISB2020008,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-222/
R/2020/183,2020-06-26,Ford,"Transit and Transit Custom",20S24,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-183/
R/2020/059,2020-06-01,Hyundai,I30,01D010,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-059/
RM/2020/015,2020-05-21,Triumph,"Speed Triple RS, Speed Triple S, Tiger 1200 XRT and 8 more",SRAN579,,,,2020184,2020-04-28,1,https://carsmultiverse.com/uk-recall/rm-2020-015/
R/2020/126,2020-05-18,Ford,"Ranger and Everest",20S19,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-126/
R/2020/104,2020-05-13,"Mercedes Benz Bus","Citaro G and Citaro K",5410M20087A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-104/
R/2020/103,2020-04-28,Ford,"Ranger and Everest",20S10,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-103/
R/2020/110,2020-04-27,Bmw,"2 Series and 1 Series",0032100300,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-110/
RSPV/2020/011,2020-04-21,Polaris,"Phoenix 200",A2001,,,,2020169,2020-04-17,1,https://carsmultiverse.com/uk-recall/rspv-2020-011/
R/2019/454,2020-04-16,Ford,Focus,19S50,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-454/
RM/2020/005,2020-04-16,"Bmw Motorrad","C 400 X and C400 GT",0000321100,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-005/
RSPV/2020/010,2020-04-14,Polaris,"Ranger XP 1000 and Ranger Diesel (intl)",R2002,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2020-010/
RM/2020/008,2020-04-06,Triumph,"Trophy A1, Trophy SE A1 and Trophy SE A1 Launch",SRAN574,,,,2020107,2020-03-19,1,https://carsmultiverse.com/uk-recall/rm-2020-008/
R/2020/107,2020-04-03,"Scania Bus","N and FK",RC201613,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-107/
RM/2020/011,2020-04-02,"Indian Motorcycle Company","111 C.I.",I2003,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-011/
RM/2020/010,2020-04-02,"Indian Motorcycle Company","Indian Challenger",I2002,,,,2020138,2020-04-01,1,https://carsmultiverse.com/uk-recall/rm-2020-010/
R/2020/081,2020-03-30,Bmw,M6,0063700100,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-081/
RSPV/2020/009,2020-03-24,Polaris,"General XP 1000, General 1000 and Ranger XP 1000",R2001,,,,2020141,2020-04-02,1,https://carsmultiverse.com/uk-recall/rspv-2020-009/
R/2020/058,2020-03-23,Mazda,CX-5,AL006A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-058/
R/2020/067,2020-03-23,Bmw,"X6 and X6M",0051860400,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-067/
R/2020/076,2020-03-23,Levc,TX,CCMNO182020,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-076/
R/2020/063,2020-03-20,Ford,"Transit Custom",20S03,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-063/
R/2020/073,2020-03-16,"Volvo Car","XC40, XC60, V90 and 6 more",R29998,,,,2020099,2020-03-13,1,https://carsmultiverse.com/uk-recall/r-2020-073/
RM/2020/006,2020-03-13,"Bmw Motorrad","R 1250 GSA, R 1250 GS and R Nine T",0000334500,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-006/
RM/2020/007,2020-03-03,"Indian Motorcycle Company","Chieftain, Chief Classic and Chief",I1902A,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2020-007/
R/2019/361,2020-03-02,"Mercedes Benz Bus","Citaro U, Capacity L, Citaro G and 8 more",8330M19064A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-361/
R/2019/439,2020-03-02,"Toyota (Gb)",Camry,19SMD097,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-439/
R/2019/397,2020-03-02,Bmw,"X6 and X6M",0052920200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-397/
R/2020/016,2020-03-01,Hyundai,I30,91C080,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-016/
R/2019/387,2020-02-26,Vauxhall,"Insignia B",E19190042020C031,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-387/
R/2020/044,2020-02-21,Ford,"Transit Connect",20S05,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-044/
R/2020/020,2020-02-07,"Nissan (Gb)","X82 (NV300)",PN9B6,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-020/
R/2020/012,2020-01-30,"Nissan (Gb)","X61 (NV250)",PN0C0,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-012/
R/2020/009,2020-01-29,Mazda,"MAZDA3 and CX-30",AK072A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-009/
R/2020/010,2020-01-29,Mazda,MAZDA3,AK070A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-010/
R/2019/440,2020-01-27,"Toyota (Gb)",Prius,19SMD114,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-440/
R/2019/421,2020-01-24,Ford,Focus,19S42,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-421/
RM/2020/001,2020-01-22,Triumph,"Speed Twin",SRAN569,,,,2020007,2020-01-15,1,https://carsmultiverse.com/uk-recall/rm-2020-001/
R/2019/442,2020-01-20,"Toyota (Gb)",Yaris,19SMD125,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-442/
R/2020/004,2020-01-15,"Nissan (Gb)",Pathfinder,R20A1,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-004/
R/2019/423,2020-01-10,Vauxhall,Vivaro,E19190290020C001,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-423/
R/2019/426,2020-01-08,Ford,Fiesta,19S47,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-426/
RSPV/2019/011,2019-12-20,Polaris,"Ranger XP 1000",R1905,,,,2019653,2019-12-20,1,https://carsmultiverse.com/uk-recall/rspv-2019-011/
R/2019/410,2019-12-19,Ford,Fiesta,19S46,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-410/
RM/2019/034,2019-12-16,Ducati,Multistrada,CR184,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2019-034/
RM/2019/037,2019-12-11,"Moto Guzzi","V85 TT",PGJZZQ1905,,,,2019625,2019-12-11,0,https://carsmultiverse.com/uk-recall/rm-2019-037/
RM/2019/036,2019-12-11,"Moto Guzzi","V85 TT",PGJZZQ1904,,,,2019624,2019-12-11,0,https://carsmultiverse.com/uk-recall/rm-2019-036/
R/2019/368,2019-12-09,Bmw,"5 Series, 6 Series, 3 Series and 1 more",0011370500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-368/
R/2019/359,2019-12-08,Hyundai,Ioniq,91C064,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-359/
RCOMP/2019/010,2019-11-26,Triumph,"Speed Triple",SRAN568,,,,,,1,https://carsmultiverse.com/uk-recall/rcomp-2019-010/
RM/2019/031,2019-11-25,Piaggio,Vespa,PP2ZZQ1904GTS,,,,2019597,2019-11-25,1,https://carsmultiverse.com/uk-recall/rm-2019-031/
RM/2019/029,2019-11-08,Ducati,Hypermotard,CR183,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2019-029/
RM/2019/028,2019-10-22,Polaris,"Slingshot 3-WHEEL Motorcycle",T1901,,,,2019545,2019-10-30,0,https://carsmultiverse.com/uk-recall/rm-2019-028/
R/2019/335,2019-10-04,Ford,Ranger,18S02,,,,2018024,2018-01-11,0,https://carsmultiverse.com/uk-recall/r-2019-335/
R/2019/312,2019-09-27,"Nissan (Gb)",Micra,PY8B3,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-312/
R/2019/317,2019-09-18,"Scania Truck",Lpgrs,RC191624,,,,,,1,https://carsmultiverse.com/uk-recall/r-2019-317/
RM/2019/020,2019-07-30,"Moto Guzzi","Audace, Elderado, MGX21 and 1 more",PA2ZZQ1904,,,,2019397,2019-08-12,0,https://carsmultiverse.com/uk-recall/rm-2019-020/
RM/2019/021,2019-07-30,Aprilia,"Shiver 750, Dorsodoro and Shiver 900",PA2ZZQ1904,,,,2019397,2019-08-12,0,https://carsmultiverse.com/uk-recall/rm-2019-021/
R/2019/020,2019-06-14,Ford,"S-Max, Galaxy and Mondeo",17S09,,,,2017184,2017-03-29,1,https://carsmultiverse.com/uk-recall/r-2019-020/
R/2019/172,2019-05-17,"General Llc","Chevrolet Corvette, Cadillac ATS, Chevrolet Camaro and 1 more",N182182760,,,,2019056,2019-02-08,0,https://carsmultiverse.com/uk-recall/r-2019-172/
RCOMP/2019/003,2019-05-10,Triumph,Thruxton,SRAN566,,,,2019233,2019-05-16,0,https://carsmultiverse.com/uk-recall/rcomp-2019-003/
R/2019/135,2019-04-26,"Volvo Car",V60,R19938,,,,2019203,2019-04-25,0,https://carsmultiverse.com/uk-recall/r-2019-135/
R/2019/128,2019-04-25,"Volvo Car",XC90,R29936,,,,2019188,2019-04-18,0,https://carsmultiverse.com/uk-recall/r-2019-128/
RSPV/2019/002,2019-02-26,Polaris,"Ranger EV",R1901,,,,2019089,2019-02-26,0,https://carsmultiverse.com/uk-recall/rspv-2019-002/
R/2019/023,2019-01-25,"Volvo Car",XC60,R89910,,,,2019030,2019-01-21,0,https://carsmultiverse.com/uk-recall/r-2019-023/
R/2018/309,2019-01-14,Lexus,"Lexus SC430",18SMD104,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-309/
R/2019/006,2019-01-11,Tesla,"Model S",SB1920001,,,,2019004,2019-01-07,0,https://carsmultiverse.com/uk-recall/r-2019-006/
R/2018/346,2019-01-01,Subaru,"Legacy and Outback",SRT240,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-346/
R/2018/291,2018-12-21,Ford,GT,18S29,18V707,2018-09-10,-102,2018555,2018-10-09,0,https://carsmultiverse.com/uk-recall/r-2018-291/
R/2021/374,2018-12-21,Lamborghini,"Gallardo Spyder and Gallardo Coupe",L614R0118,,,,2018662,2018-11-29,0,https://carsmultiverse.com/uk-recall/r-2021-374/
R/2018/307,2018-12-17,"Toyota (Gb)","Yaris, Avensis, Avensis Verso and 1 more",18SMD104,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-307/
R/2018/321,2018-11-19,Mazda,MAZDA6,AJ046C,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-321/
R/2018/320,2018-11-19,Mazda,BT-50,AJ046B,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-320/
R/2018/314,2018-11-12,"Volvo Car","V60CC, V90, V90CC and 5 more",R39917,,,,2018618,2018-11-09,0,https://carsmultiverse.com/uk-recall/r-2018-314/
R/2018/277,2018-09-30,Mazda,MAZDA6,AF058A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-277/
R/2018/224,2018-08-17,"Volvo Car",XC40,R89898,,,,2018430,2018-08-15,0,https://carsmultiverse.com/uk-recall/r-2018-224/
R/2018/194,2018-07-16,Ford,"Transit Connect",18S07,18V169,2018-12-03,140,2018129,2018-03-14,0,https://carsmultiverse.com/uk-recall/r-2018-194/
R/2018/082,2018-07-16,Ford,"Kuga, S-Max, Mondeo and 3 more",18S07,18V169,2018-12-03,140,2018129,2018-03-14,0,https://carsmultiverse.com/uk-recall/r-2018-082/
RSPV/2018/005,2018-04-19,Polaris,"Phoenix 200",A1806,,,,2018194,2018-04-19,0,https://carsmultiverse.com/uk-recall/rspv-2018-005/
RM/2018/014,2018-04-12,"Indian Motorcycle Company","ALL MY 2018 111CI Motorcycles",I1804,,,,2018176,2018-04-12,0,https://carsmultiverse.com/uk-recall/rm-2018-014/
R/2018/093,2018-03-30,Tesla,"Model S",SB1832002,,,,2018149,2018-03-29,0,https://carsmultiverse.com/uk-recall/r-2018-093/
RM/2018/012,2018-03-27,Polaris,"Slingshot 3-WHEEL Motorcycle",T1801,,,,2018144,2018-03-27,0,https://carsmultiverse.com/uk-recall/rm-2018-012/
R/2018/053,2018-03-12,Ford,"C-Max, Galaxy, Focus and 3 more",17S45,,,,,,1,https://carsmultiverse.com/uk-recall/r-2018-053/
RM/2018/002,2018-01-18,"Indian Motorcycle Company",Roadmaster,I1801,,,,2018047,2018-01-24,0,https://carsmultiverse.com/uk-recall/rm-2018-002/
R/2018/008,2018-01-08,Ford,"C-Max, Kuga, Fiesta ST and 1 more",17S09,,,,2017184,2017-03-29,1,https://carsmultiverse.com/uk-recall/r-2018-008/
R/2018/009,2018-01-08,Ford,"Transit Connect",17S09,,,,2017184,2017-03-29,1,https://carsmultiverse.com/uk-recall/r-2018-009/
R/2017/293,2018-01-02,Infiniti,"QX30 and Q30",PG7BS,,,,2017538,2017-11-02,0,https://carsmultiverse.com/uk-recall/r-2017-293/
R/2017/345,2017-12-18,"Aston Martin","DB9, Rapide S, Vanquish and 2 more",RA070028,,,,2017639,2017-12-18,0,https://carsmultiverse.com/uk-recall/r-2017-345/
RM/2017/039,2017-12-18,Piaggio,"RSV4 Euro 3, Tuono 1100 Euro 4 and RSV4 Euro 4",PA2ZZQ1703,,,,2018049,2018-01-25,0,https://carsmultiverse.com/uk-recall/rm-2017-039/
R/2017/343,2017-12-18,"Aston Martin","DB9, Virage, DBS and 1 more",RA180026,,,,2017638,2017-12-18,0,https://carsmultiverse.com/uk-recall/r-2017-343/
RM/2017/035,2017-11-02,Polaris,"Springfield, Chief and Chieftain",I1703,,,,2017528,2017-10-27,0,https://carsmultiverse.com/uk-recall/rm-2017-035/
RSPV/2017/016,2017-10-30,Polaris,General,R1707,,,,2017523,2017-10-26,0,https://carsmultiverse.com/uk-recall/rspv-2017-016/
R/2017/284,2017-10-12,Tesla,"Model X",SB1713004,,,,2017496,2017-10-12,0,https://carsmultiverse.com/uk-recall/r-2017-284/
RSPV/2017/008,2017-07-19,Polaris,"Sportsman 570",A1704,,,,2017360,2017-07-18,0,https://carsmultiverse.com/uk-recall/rspv-2017-008/
R/2017/205,2017-06-23,"Aston Martin",Vantage,RA070024,,,,2017340,2017-07-10,0,https://carsmultiverse.com/uk-recall/r-2017-205/
R/2017/188,2017-06-15,"Volvo Car",XC90,R89716,,,,2017299,2017-06-08,0,https://carsmultiverse.com/uk-recall/r-2017-188/
R/2017/163,2017-05-31,Mazda,"MAZDA6, CX-3, CX-5 and 3 more",AG014A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2017-163/
R/2017/149,2017-05-12,Ford,"GT and Mustang",15S21,15V319,2015-05-28,-715,2015232,2015-05-28,0,https://carsmultiverse.com/uk-recall/r-2017-149/
RSPV/2017/005,2017-04-21,Polaris,"Crew and Ranger XP",R1703,,,,2017054,2017-02-03,0,https://carsmultiverse.com/uk-recall/rspv-2017-005/
R/2017/182,2017-04-19,Tesla,"Model S and Model X",SB1733002,,,,2017218,2017-04-20,0,https://carsmultiverse.com/uk-recall/r-2017-182/
R/2017/105,2017-03-08,"Volvo Car","S90, V90 and XC90",R89714,,,,2017089,2017-02-17,0,https://carsmultiverse.com/uk-recall/r-2017-105/
R/2016/268,2017-02-27,"Toyota (Gb)",Dyna,NOTAVAILABLE,,,,,,1,https://carsmultiverse.com/uk-recall/r-2016-268/
R/2017/020,2017-02-22,Ford,Mondeo,16S42,16V875,2016-12-05,-79,2016601,2016-12-01,0,https://carsmultiverse.com/uk-recall/r-2017-020/
R/2017/009,2017-02-06,Ford,Ranger,16S19,16V248,2016-04-27,-285,2016183,2016-04-26,0,https://carsmultiverse.com/uk-recall/r-2017-009/
R/2016/301,2017-02-01,Infiniti,"Q30 and QX30",PG6BN,,,,2016649,2016-12-22,0,https://carsmultiverse.com/uk-recall/r-2016-301/
R/2016/244,2017-01-09,Ford,"Tourneo Connect and Transit Connect",16S35,16V695,2016-09-27,-104,2016474,2016-09-27,0,https://carsmultiverse.com/uk-recall/r-2016-244/
R/2017/002,2017-01-03,"Volvo Car","S90, V60CC, S60CC and 7 more",R89712,16V918,2016-12-21,-13,2016638,2016-12-16,0,https://carsmultiverse.com/uk-recall/r-2017-002/
R/2016/290,2016-12-31,"Land Rover","Discovery and Range Rover Evoque",Q650Q651,,,,2016615,2016-12-08,0,https://carsmultiverse.com/uk-recall/r-2016-290/
RM/2016/049,2016-12-15,Polaris,"Indian Motorcycles - Various Models",I1603,,,,2016616,2016-12-12,0,https://carsmultiverse.com/uk-recall/rm-2016-049/
R/2016/257,2016-11-01,"Volvo Car","S60, V60, V60CC and 4 more",R89708,16V798,2016-11-02,1,2016534,2016-10-28,0,https://carsmultiverse.com/uk-recall/r-2016-257/
R/2016/210,2016-09-30,Mazda,"Demio, B Series, 121 and 4 more",AF050A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2016-210/
RM/2016/035,2016-07-14,Aprilia,"Caponard, Dorsoduro and Tuono",PA2ZZQ1602,,,,2016491,2016-10-07,0,https://carsmultiverse.com/uk-recall/rm-2016-035/
R/2016/143,2016-06-30,Mazda,"Mazda 2",AF071A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2016-143/
R/2016/084,2016-04-29,Mazda,"RX8, 6 and BT-50",AF037A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2016-084/
RSPV/2016/008,2016-04-19,Polaris,RZR,10005,,,,2010133,2010-04-26,0,https://carsmultiverse.com/uk-recall/rspv-2016-008/
R/2015/174,2015-08-26,"Volvo Car",XC90,R89573,,,,2015355,2015-08-05,0,https://carsmultiverse.com/uk-recall/r-2015-174/
R/2015/111,2015-06-03,"Volvo Car",XC90,R89571,15V342,2015-06-03,0,2015238,2015-05-29,0,https://carsmultiverse.com/uk-recall/r-2015-111/
RM/2015/016,2015-05-11,Triumph,"Daytona and Speed Triple",SB524,15V255,2015-04-29,-12,2015182,2015-04-30,0,https://carsmultiverse.com/uk-recall/rm-2015-016/
R/2014/163,2014-12-02,"Aston Martin","DB9, Vantage, Virage and 3 more",RA010019,14V753,2014-11-25,-7,2014543,2014-12-03,0,https://carsmultiverse.com/uk-recall/r-2014-163/
RM/2014/029,2014-11-03,Triumph,"Thunderbird, America, Rocket 3 and 5 more",SB519,14V694,2014-11-03,0,2014495,2014-11-03,0,https://carsmultiverse.com/uk-recall/rm-2014-029/
R/2014/078,2014-07-16,"Aston Martin","DB9 and Rapide S",RA070018,14V425,2014-07-14,-2,,,0,https://carsmultiverse.com/uk-recall/r-2014-078/
R/2013/109,2013-11-04,"Nissan (Gb)",Patrol,R1306,,,,2013332,2013-09-27,0,https://carsmultiverse.com/uk-recall/r-2013-109/
R/2013/071,2013-07-26,Bmw,"3 Series",0072330100,,,,,,1,https://carsmultiverse.com/uk-recall/r-2013-071/
R/2013/067,2013-05-29,"Aston Martin",DB9,RA030017,,,,2014012,2014-01-21,0,https://carsmultiverse.com/uk-recall/r-2013-067/
RSPV/2011/012,2012-01-06,"Workhorse Custom Chassis",W22,61101C,,,,2010248,2010-07-27,0,https://carsmultiverse.com/uk-recall/rspv-2011-012/
R/2011/044,2011-08-16,Hummer,Hummer,10088A,,,,2010140,2010-04-29,0,https://carsmultiverse.com/uk-recall/r-2011-044/
R/2011/048,2011-07-18,Cadillac,"Cadillac and Hummer",10153,,,,2010189,2010-06-07,0,https://carsmultiverse.com/uk-recall/r-2011-048/
R/2011/046,2011-07-18,"Chevrolet Usa",Corvette,10118,,,,2010134,2010-04-27,0,https://carsmultiverse.com/uk-recall/r-2011-046/
R/2010/149,2010-09-27,"Iveco Bus",Eurorider,SC152,,,,1983081,1982-09-29,0,https://carsmultiverse.com/uk-recall/r-2010-149/
R/2008/188,2009-01-26,Saab,95,15025,,,,2015033,2015-01-27,0,https://carsmultiverse.com/uk-recall/r-2008-188/
RM/2008/016,2008-04-15,Vectrix,Scooter,V0801,,,,2008106,2008-03-27,0,https://carsmultiverse.com/uk-recall/rm-2008-016/
RSPV/2008/008,2008-02-21,Polaris,Outlaw,ATV0802,,,,2008026,2008-01-30,0,https://carsmultiverse.com/uk-recall/rspv-2008-008/
R/2007/138,2007-07-24,"Scania Bus",N,70702,,,,2007219,2007-07-06,0,https://carsmultiverse.com/uk-recall/r-2007-138/
RSPV/2007/011,2007-06-13,Polaris,Outlaw,ATV0702,,,,2007164,2007-05-23,0,https://carsmultiverse.com/uk-recall/rspv-2007-011/
R/2005/153,2005-12-14,Cadillac,Corvette,05086,,,,2005296,2005-10-07,0,https://carsmultiverse.com/uk-recall/r-2005-153/
R/2005/162,2005-11-18,"Aston Martin",DB9,SAR011,,,,2005345,2005-11-04,0,https://carsmultiverse.com/uk-recall/r-2005-162/
R/2004/187,2004-11-19,"Aston Martin",Vanquish,SAR009,,,,2004402,2004-11-17,0,https://carsmultiverse.com/uk-recall/r-2004-187/
R/2004/155,2004-11-09,Cadillac,"Envoy, Trailblazer EXT, Trailblazer and 2 more",04006,,,,2004052,2004-02-09,0,https://carsmultiverse.com/uk-recall/r-2004-155/
R/2004/197,2004-11-01,Cadillac,Corvette,04006,,,,2004052,2004-02-09,0,https://carsmultiverse.com/uk-recall/r-2004-197/
R/2004/019,2004-03-11,Vauxhall,"Corsa and Combo",04C08,,,,2004417,2004-11-25,0,https://carsmultiverse.com/uk-recall/r-2004-019/
RM/2004/028,2003-05-08,Polaris,"Victory Motor Cycle - Vegas",V0402,,,,2004302,2004-08-24,0,https://carsmultiverse.com/uk-recall/rm-2004-028/
R/2003/057,2003-04-07,Saab,900,15012,,,,2015310,2015-07-14,0,https://carsmultiverse.com/uk-recall/r-2003-057/
R/2003/015,2003-04-04,Vauxhall,Vivaro,03C02,,,,2003027,2003-02-06,0,https://carsmultiverse.com/uk-recall/r-2003-015/
R/2003/051,2003-03-24,"Aston Martin",DB7,SAR008,,,,2003082,2003-03-27,0,https://carsmultiverse.com/uk-recall/r-2003-051/
R/2002/093,2002-07-11,Saab,"93, 95 and 900",15008,,,,2015244,2015-06-03,0,https://carsmultiverse.com/uk-recall/r-2002-093/
R/2001/042,2001-06-04,"Aston Martin","DB7 and Volante",SAR007,,,,2001181,2001-07-09,0,https://carsmultiverse.com/uk-recall/r-2001-042/
R/2000/106,2000-10-09,"Aston Martin","Vantage, DB7 and Volante",SAR006,,,,2000266,2000-11-15,0,https://carsmultiverse.com/uk-recall/r-2000-106/
R/2000/001,2000-01-10,"Aston Martin","Vantage, DB7 and Volante",SAR003,,,,2000042,2000-02-24,0,https://carsmultiverse.com/uk-recall/r-2000-001/
