uk_reference,uk_launched,make,models,manufacturer_code,us_campaign,us_filed,days_uk_to_us,canada_recall,canada_date,eu_alerts,page
R/2022/009,2022-02-18,Tesla,"Model S",SB2111003,,,,2021783,2021-12-21,1,https://carsmultiverse.com/uk-recall/r-2022-009/
R/2022/008,2022-02-18,Tesla,"Model 3",SB2117008,,,,2021784,2021-12-21,0,https://carsmultiverse.com/uk-recall/r-2022-008/
R/2022/004,2022-02-01,Hyundai,"Ioniq AE EV",11D138,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-004/
R/2022/014,2022-01-24,Ford,"Mustang Mach-E",21C22,,,,2021560,2021-09-15,1,https://carsmultiverse.com/uk-recall/r-2022-014/
R/2022/015,2022-01-18,Ford,"Mustang Mach-E",21C36,,,,2021768,2021-12-17,0,https://carsmultiverse.com/uk-recall/r-2022-015/
R/2021/439,2022-01-11,Mazda,CX-5,AM038A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-439/
R/2021/435,2022-01-04,Mazda,"MAZDA2, CX-3, MAZDA6 and 3 more",AM039A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-435/
R/2022/016,2021-12-24,"Bugatti Sas","Chiron PUR Sport",BUGCR025,,,,2021789,2021-12-23,1,https://carsmultiverse.com/uk-recall/r-2022-016/
R/2022/006,2021-12-24,Tesla,"Model 3 and Model Y",SB2131003,,,,2021649,2021-10-25,1,https://carsmultiverse.com/uk-recall/r-2022-006/
R/2022/007,2021-12-24,Tesla,"Model 3",SB2120006,,,,,,1,https://carsmultiverse.com/uk-recall/r-2022-007/
R/2021/414,2021-12-20,Hyundai,"Tucson NX4E and Tucson NX4E Hev/phev",11DC43,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-414/
R/2021/397,2021-12-17,Ford,"Mustang Mach-E",21S42,,,,2021561,2021-09-15,1,https://carsmultiverse.com/uk-recall/r-2021-397/
R/2021/354,2021-12-17,"Mercedes Benz Bus","Tourismo Rhd-L, Ecitaro and Tourismo RHD",4620U21175A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-354/
R/2021/429,2021-12-13,"Volvo Car",XC40,R10143,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-429/
RSPV/2022/006,2021-11-15,"Claas Tractor Sas","A42 Axion 900, A44 Axion 900, A72 Arion 400 and 1 more",15136,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2022-006/
R/2021/353,2021-11-01,Subaru,"Forester, Impreza and XV",SRT308,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-353/
R/2021/345,2021-10-21,"Nissan (Gb)",Juke,PG1CE,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-345/
RM/2021/035,2021-10-21,Kawasaki,"W800, W800 Cafe and W800 Street",DAK47,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-035/
RM/2022/001,2021-10-21,"Zero Motorcycles",SR/F,NSZMC02041702,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2022-001/
R/2021/332,2021-10-18,"Toyota (Gb)","Prius and Prius PHV",21SMD076,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-332/
R/2021/360,2021-10-18,"Volvo Car","XC90 and XC60",R10098,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-360/
RM/2021/030,2021-10-05,Ducati,"Hypermotard 950 SP",CR220,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-030/
R/2021/303,2021-09-27,"Toyota (Gb)",Supra,21SMD063,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-303/
R/2021/285,2021-09-22,Ford,Focus,21S36,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-285/
R/2021/331,2021-09-18,"Volvo Car","XC60, V90, V90CC and 6 more",R10120,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-331/
R/2021/250,2021-09-13,"Toyota (Gb)",Proace,21SMD056,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-250/
R/2021/329,2021-09-06,Vw,"ABT E-Transporter",ABTEDT95006A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-329/
R/2021/278,2021-09-06,"Nissan (Gb)",NV400,PN1C2,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-278/
RM/2021/026,2021-09-05,Ducati,"Monster 1200 S/std, Monster 1200 R and Monster 821",CR217,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-026/
RSPV/2022/001,2021-09-02,Polaris,"Phoenix 200",A2104,,,,2021331,2021-05-27,1,https://carsmultiverse.com/uk-recall/rspv-2022-001/
R/2021/281,2021-08-10,Ford,Transit,21S30,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-281/
RM/2021/023,2021-08-06,Kawasaki,"ZX1002A, ZX1002D and ZX1002B",DAK52,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-023/
R/2021/282,2021-08-02,"Volvo Car","V60, S90, S60 and 1 more",R10115,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-282/
R/2021/273,2021-08-02,Mazda,MAZDA3,AM026A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-273/
R/2019/155,2021-07-31,Ford,Ranger,17S42,,,,2017633,2017-12-15,1,https://carsmultiverse.com/uk-recall/r-2019-155/
R/2021/269,2021-07-26,"Man Truck And Bus",TGX,7571TR,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-269/
RSPV/2022/016,2021-07-23,Polaris,"RZR PRO XP",Z2103,,,,2021370,2021-06-10,0,https://carsmultiverse.com/uk-recall/rspv-2022-016/
R/2021/220,2021-07-12,Hyundai,Tucson,11DC17,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-220/
R/2021/219,2021-07-12,Hyundai,Genesis,11D054,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-219/
RM/2021/019,2021-07-01,Aprilia,"Tuono 660 and RS660",PA2ZZQ2107,,,,2021414,2021-07-02,0,https://carsmultiverse.com/uk-recall/rm-2021-019/
R/2021/245,2021-06-30,Vauxhall,Mokka,E21210448021C104,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-245/
R/2021/078,2021-06-27,"General Llc","Cadillac Escalade ESV and Cadillac Escalade",N212328780,,,,2021026,2021-02-05,0,https://carsmultiverse.com/uk-recall/r-2021-078/
R/2021/235,2021-06-23,"Renault Trucks","Master VAN III",C0173,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-235/
R/2021/217,2021-06-11,Bmw,"2 Series",0051220500,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-217/
R/2021/218,2021-06-09,Vauxhall,"Movano B",E21210436121C103,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-218/
R/2021/206,2021-06-09,Vauxhall,"Grandland X",E21210369021C106,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-206/
R/2021/205,2021-06-07,"Volvo Car","V60CC, S60, S90 and 5 more",R10100,,,,2021345,2021-06-02,1,https://carsmultiverse.com/uk-recall/r-2021-205/
R/2021/192,2021-05-28,Vauxhall,"Movano B",E21210053021C079,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-192/
R/2021/188,2021-05-27,"Nissan (Gb)",GT-R,R21A4,,,,2021334,2021-05-28,1,https://carsmultiverse.com/uk-recall/r-2021-188/
R/2021/199,2021-05-26,Tesla,"Model 3",SB2120001,,,,2021321,2021-05-25,1,https://carsmultiverse.com/uk-recall/r-2021-199/
R/2021/197,2021-05-26,Tesla,"Model 3",SB2133002,,,,2021318,2021-05-25,1,https://carsmultiverse.com/uk-recall/r-2021-197/
R/2021/177,2021-05-21,Ford,"Kuga, Puma, Focus and 1 more",21C12,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-177/
R/2021/183,2021-05-21,Ford,"Transit and Transit Custom",21S27,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-183/
R/2021/168,2021-05-17,Bmw,"M3 and 3 Series",0072250200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-168/
R/2021/152,2021-05-10,"Man Truck And Bus","TGM and TGX",7453TR,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-152/
RSPV/2021/008,2021-05-05,"Brp-Can Am","Renegade and Outlander",20217,,,,,,2,https://carsmultiverse.com/uk-recall/rspv-2021-008/
RM/2021/011,2021-04-30,Ducati,"Multistrada V4",CR208,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-011/
R/2021/158,2021-04-28,Bmw,I3,0052980100,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-158/
R/2021/154,2021-04-27,Mazda,MX-30,AM020A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-154/
R/2021/144,2021-04-27,"Nissan (Gb)",NV400,PN1C1,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-144/
R/2021/123,2021-04-14,Ford,"Ecosport and Fiesta",21S13,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-123/
R/2021/138,2021-04-13,"Scania Truck",Lpgrs,RC201850,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-138/
R/2021/077,2021-04-12,Mazda,CX-30,AM006A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-077/
R/2021/368,2021-03-22,Lamborghini,"Aventador SVJ Coupe",L734R0121,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-368/
RSPV/2021/007,2021-03-18,"Brp-Can Am",Ryker,20221,,,,,,1,https://carsmultiverse.com/uk-recall/rspv-2021-007/
R/2021/088,2021-03-16,Vauxhall,"Grandland X",E21210002121C050,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-088/
R/2021/035,2021-03-08,Hyundai,Tucson,11DC03,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-035/
R/2021/020,2021-03-05,Ford,Focus,20S74,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-020/
R/2021/061,2021-02-24,"Polestar Automotive","Polestar 2",R10079,,,,2021098,2021-02-24,1,https://carsmultiverse.com/uk-recall/r-2021-061/
R/2021/060,2021-02-24,"Volvo Car","XC40 Recharge",R10078,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-060/
RM/2021/008,2021-02-23,Ducati,Xdiavel,CR206,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-008/
R/2021/005,2021-02-22,Ford,"Galaxy and S-Max",20S75,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-005/
R/2021/014,2021-02-22,Hyundai,"Santa FE, I20, Tucson and 1 more",01D116,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-014/
R/2021/054,2021-02-22,Bmw,"8 Series Coupe, M8 Coupe, X7 and 8 more",0034550200,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-054/
RSPV/2021/004,2021-02-16,Polaris,"RZR PRO XP Premium",Z2101,,,,2021072,2021-02-18,0,https://carsmultiverse.com/uk-recall/rspv-2021-004/
RM/2021/006,2021-02-10,Ktm,"1290 Super Duke R",081806661,,,,,,1,https://carsmultiverse.com/uk-recall/rm-2021-006/
R/2020/295,2021-02-01,"Mercedes Benz Bus","Setra S531DT",6510U20105A,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-295/
R/2021/031,2021-02-01,Tesla,"Model S and Model X",SB2121001,,,,2021038,2021-01-29,0,https://carsmultiverse.com/uk-recall/r-2021-031/
R/2021/025,2021-01-28,"Volvo Car",XC40,R10070,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-025/
R/2020/382,2021-01-25,Hyundai,"Nexo, Kona EV and Kona HEV",01D102,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-382/
R/2021/021,2021-01-25,Ford,Focus,21S01,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-021/
R/2020/361,2021-01-21,Ford,Transit,20S70,,,,,,1,https://carsmultiverse.com/uk-recall/r-2020-361/
RSPV/2021/002,2021-01-21,Polaris,"Ranger 1000 and Ranger XP 1000",R2101,,,,2021008,2021-01-14,0,https://carsmultiverse.com/uk-recall/rspv-2021-002/
R/2020/358,2021-01-18,Infiniti,"M30D, M56 and M35H",R20B8,,,,2020601,2020-12-08,1,https://carsmultiverse.com/uk-recall/r-2020-358/
R/2021/008,2021-01-18,Ford,"Fiesta Mhev and Puma Mhev",20S76,,,,,,1,https://carsmultiverse.com/uk-recall/r-2021-008/
